Created as New Dataset,
nm,%T
2500.0,46.57
2495.0,47.22
2490.0,46.06
2485.0,49.33
2480.0,46.34
2475.0,46.65
2470.0,45.87
2465.0,46.24
2460.0,45.96
2455.0,46.76
2450.0,47.96
2445.0,45.95
2440.0,46.22
2435.0,46.19
2430.0,47.56
2425.0,47.20
2420.0,47.59
2415.0,48.22
2410.0,46.99
2405.0,46.62
2400.0,46.74
2395.0,45.45
2390.0,48.03
2385.0,47.89
2380.0,47.12
2375.0,46.62
2370.0,47.33
2365.0,46.28
2360.0,47.11
2355.0,46.18
2350.0,45.65
2345.0,45.99
2340.0,46.42
2335.0,46.17
2330.0,46.92
2325.0,46.00
2320.0,46.61
2315.0,46.80
2310.0,45.96
2305.0,46.22
2300.0,46.68
2295.0,45.73
2290.0,45.87
2285.0,45.69
2280.0,45.57
2275.0,46.00
2270.0,45.82
2265.0,45.97
2260.0,46.04
2255.0,45.35
2250.0,46.03
2245.0,45.25
2240.0,45.48
2235.0,45.07
2230.0,45.24
2225.0,45.47
2220.0,45.52
2215.0,45.79
2210.0,45.92
2205.0,46.17
2200.0,45.66
2195.0,45.92
2190.0,46.02
2185.0,46.49
2180.0,46.09
2175.0,46.68
2170.0,46.86
2165.0,47.05
2160.0,47.00
2155.0,47.39
2150.0,47.75
2145.0,47.09
2140.0,46.70
2135.0,46.83
2130.0,47.56
2125.0,47.12
2120.0,47.23
2115.0,46.97
2110.0,46.86
2105.0,46.56
2100.0,46.77
2095.0,46.48
2090.0,46.43
2085.0,46.38
2080.0,46.49
2075.0,46.47
2070.0,46.27
2065.0,46.42
2060.0,46.39
2055.0,46.48
2050.0,46.23
2045.0,46.48
2040.0,46.19
2035.0,46.34
2030.0,46.19
2025.0,46.12
2020.0,45.99
2015.0,46.14
2010.0,45.97
2005.0,45.76
2000.0,45.71
1995.0,45.72
1990.0,45.80
1985.0,45.55
1980.0,45.69
1975.0,45.60
1970.0,45.60
1965.0,45.65
1960.0,45.52
1955.0,45.73
1950.0,45.82
1945.0,45.62
1940.0,45.74
1935.0,45.77
1930.0,46.02
1925.0,45.99
1920.0,46.15
1915.0,46.08
1910.0,45.90
1905.0,45.79
1900.0,46.28
1895.0,46.26
1890.0,46.15
1885.0,46.17
1880.0,46.47
1875.0,46.63
1870.0,46.53
1865.0,46.61
1860.0,46.53
1855.0,46.50
1850.0,46.49
1845.0,46.74
1840.0,46.65
1835.0,46.72
1830.0,46.69
1825.0,46.67
1820.0,46.55
1815.0,46.76
1810.0,46.71
1805.0,46.67
1800.0,46.77
1795.0,46.81
1790.0,46.90
1785.0,46.97
1780.0,46.93
1775.0,47.18
1770.0,47.18
1765.0,47.21
1760.0,47.32
1755.0,47.28
1750.0,47.46
1745.0,47.46
1740.0,47.55
1735.0,47.66
1730.0,47.78
1725.0,47.89
1720.0,47.91
1715.0,47.87
1710.0,47.89
1705.0,48.00
1700.0,48.03
1695.0,48.07
1690.0,48.14
1685.0,48.22
1680.0,48.24
1675.0,48.26
1670.0,48.30
1665.0,48.46
1660.0,48.45
1655.0,48.47
1650.0,48.46
1645.0,48.59
1640.0,48.65
1635.0,48.77
1630.0,48.80
1625.0,48.84
1620.0,48.91
1615.0,48.98
1610.0,48.95
1605.0,49.09
1600.0,49.18
1595.0,49.30
1590.0,49.39
1585.0,49.42
1580.0,49.53
1575.0,49.52
1570.0,49.65
1565.0,49.74
1560.0,49.83
1555.0,49.95
1550.0,49.97
1545.0,50.07
1540.0,50.21
1535.0,50.25
1530.0,50.38
1525.0,50.41
1520.0,50.49
1515.0,50.67
1510.0,50.78
1505.0,50.85
1500.0,50.96
1495.0,51.02
1490.0,51.12
1485.0,51.21
1480.0,51.29
1475.0,51.42
1470.0,51.53
1465.0,51.58
1460.0,51.69
