Created as New Dataset,
nm,%T
2500.0,56.56
2495.0,55.02
2490.0,54.90
2485.0,55.00
2480.0,55.14
2475.0,55.51
2470.0,54.30
2465.0,56.26
2460.0,54.86
2455.0,55.69
2450.0,55.38
2445.0,54.12
2440.0,54.28
2435.0,54.96
2430.0,54.45
2425.0,53.69
2420.0,55.58
2415.0,55.61
2410.0,56.33
2405.0,55.73
2400.0,53.98
2395.0,55.53
2390.0,54.33
2385.0,54.48
2380.0,55.30
2375.0,55.09
2370.0,56.13
2365.0,54.95
2360.0,54.47
2355.0,54.75
2350.0,54.99
2345.0,54.46
2340.0,54.74
2335.0,54.80
2330.0,54.96
2325.0,54.62
2320.0,54.24
2315.0,54.17
2310.0,54.99
2305.0,53.81
2300.0,54.22
2295.0,54.07
2290.0,54.42
2285.0,53.82
2280.0,53.50
2275.0,54.36
2270.0,54.41
2265.0,53.61
2260.0,53.53
2255.0,53.67
2250.0,53.23
2245.0,53.35
2240.0,53.14
2235.0,53.35
2230.0,53.43
2225.0,53.41
2220.0,52.86
2215.0,53.17
2210.0,53.66
2205.0,53.49
2200.0,53.93
2195.0,53.98
2190.0,54.30
2185.0,53.32
2180.0,54.30
2175.0,54.76
2170.0,54.87
2165.0,54.66
2160.0,54.83
2155.0,55.09
2150.0,55.62
2145.0,55.13
2140.0,54.97
2135.0,55.39
2130.0,55.10
2125.0,55.46
2120.0,55.11
2115.0,54.75
2110.0,54.90
2105.0,54.71
2100.0,54.92
2095.0,54.44
2090.0,54.69
2085.0,54.45
2080.0,54.35
2075.0,54.35
2070.0,54.38
2065.0,54.45
2060.0,54.20
2055.0,54.40
2050.0,54.48
2045.0,54.18
2040.0,54.25
2035.0,54.33
2030.0,54.11
2025.0,53.98
2020.0,53.94
2015.0,53.90
2010.0,53.79
2005.0,53.84
2000.0,53.65
1995.0,53.68
1990.0,53.56
1985.0,53.60
1980.0,53.49
1975.0,53.55
1970.0,53.54
1965.0,53.53
1960.0,53.44
1955.0,53.60
1950.0,53.70
1945.0,53.65
1940.0,53.70
1935.0,53.89
1930.0,53.99
1925.0,53.96
1920.0,53.99
1915.0,53.93
1910.0,53.79
1905.0,53.72
1900.0,53.94
1895.0,53.94
1890.0,54.01
1885.0,54.20
1880.0,54.21
1875.0,54.16
1870.0,54.46
1865.0,54.49
1860.0,54.33
1855.0,54.45
1850.0,54.34
1845.0,54.65
1840.0,54.52
1835.0,54.47
1830.0,54.34
1825.0,54.53
1820.0,54.51
1815.0,54.47
1810.0,54.47
1805.0,54.50
1800.0,54.56
1795.0,54.67
1790.0,54.70
1785.0,54.80
1780.0,54.89
1775.0,54.89
1770.0,54.98
1765.0,54.90
1760.0,55.11
1755.0,55.17
1750.0,55.28
1745.0,55.21
1740.0,55.40
1735.0,55.38
1730.0,55.40
1725.0,55.49
1720.0,55.58
1715.0,55.61
1710.0,55.78
1705.0,55.66
1700.0,55.69
1695.0,55.84
1690.0,55.84
1685.0,55.88
1680.0,55.86
1675.0,55.95
1670.0,56.04
1665.0,56.08
1660.0,56.17
1655.0,56.21
1650.0,56.18
1645.0,56.31
1640.0,56.33
1635.0,56.35
1630.0,56.44
1625.0,56.51
1620.0,56.60
1615.0,56.64
1610.0,56.68
1605.0,56.72
1600.0,56.83
1595.0,56.89
