Created as New Dataset,
nm,%R
2500.0,36.54
2495.0,36.37
2490.0,35.82
2485.0,35.93
2480.0,35.63
2475.0,36.30
2470.0,37.73
2465.0,35.23
2460.0,36.61
2455.0,36.59
2450.0,36.01
2445.0,34.33
2440.0,36.66
2435.0,36.00
2430.0,35.34
2425.0,37.32
2420.0,36.22
2415.0,35.10
2410.0,37.61
2405.0,36.64
2400.0,35.81
2395.0,37.01
2390.0,37.59
2385.0,36.69
2380.0,37.24
2375.0,36.04
2370.0,36.69
2365.0,36.28
2360.0,36.43
2355.0,35.49
2350.0,37.22
2345.0,35.11
2340.0,36.47
2335.0,36.07
2330.0,34.63
2325.0,37.15
2320.0,37.00
2315.0,35.73
2310.0,37.03
2305.0,36.42
2300.0,36.04
2295.0,36.32
2290.0,35.36
2285.0,35.54
2280.0,35.64
2275.0,35.58
2270.0,36.02
2265.0,35.08
2260.0,35.30
2255.0,35.47
2250.0,35.43
2245.0,35.25
2240.0,35.83
2235.0,35.26
2230.0,35.53
2225.0,34.85
2220.0,35.61
2215.0,35.69
2210.0,35.30
2205.0,34.95
2200.0,35.90
2195.0,35.39
2190.0,35.62
2185.0,35.69
2180.0,36.02
2175.0,36.12
2170.0,35.72
2165.0,36.67
2160.0,36.34
2155.0,36.74
2150.0,36.86
2145.0,36.51
2140.0,36.28
2135.0,36.64
2130.0,36.17
2125.0,36.65
2120.0,36.46
2115.0,36.42
2110.0,35.97
2105.0,36.12
2100.0,36.49
2095.0,36.28
2090.0,35.87
2085.0,36.38
2080.0,36.15
2075.0,35.65
2070.0,36.05
2065.0,35.77
2060.0,35.89
2055.0,35.89
2050.0,35.89
2045.0,35.58
2040.0,35.70
2035.0,35.49
2030.0,35.45
2025.0,35.36
2020.0,35.20
2015.0,35.18
2010.0,34.94
2005.0,35.14
2000.0,35.14
1995.0,34.94
1990.0,34.92
1985.0,34.91
1980.0,34.92
1975.0,34.84
1970.0,34.81
1965.0,34.70
1960.0,34.62
1955.0,34.81
1950.0,34.96
1945.0,34.75
1940.0,34.97
1935.0,34.98
1930.0,34.87
1925.0,34.79
1920.0,34.62
1915.0,34.74
1910.0,34.55
1905.0,34.52
1900.0,34.39
1895.0,34.68
1890.0,34.44
1885.0,34.41
1880.0,34.57
1875.0,34.43
1870.0,34.64
1865.0,34.47
1860.0,34.33
1855.0,34.25
1850.0,34.32
1845.0,34.16
1840.0,34.26
1835.0,34.18
1830.0,34.18
1825.0,34.11
1820.0,34.01
1815.0,34.04
1810.0,33.96
1805.0,33.98
1800.0,33.93
1795.0,33.88
1790.0,33.99
1785.0,33.92
1780.0,34.00
1775.0,33.98
1770.0,33.88
1765.0,33.79
1760.0,33.92
1755.0,33.73
1750.0,33.94
1745.0,33.72
1740.0,33.68
1735.0,33.74
1730.0,33.70
1725.0,33.71
1720.0,33.55
1715.0,33.63
1710.0,33.49
1705.0,33.42
1700.0,33.49
1695.0,33.29
1690.0,33.22
1685.0,33.33
1680.0,33.15
1675.0,33.10
1670.0,33.08
1665.0,33.09
1660.0,33.06
1655.0,32.94
1650.0,32.99
1645.0,32.85
1640.0,32.80
1635.0,32.79
1630.0,32.72
1625.0,32.74
1620.0,32.59
1615.0,32.53
1610.0,32.56
1605.0,32.44
1600.0,32.47
1595.0,32.38
1590.0,32.30
1585.0,32.24
1580.0,32.25
1575.0,32.15
1570.0,32.12
1565.0,32.06
1560.0,31.97
1555.0,31.97
1550.0,31.90
1545.0,31.84
1540.0,31.77
1535.0,31.70
1530.0,31.66
1525.0,31.55
1520.0,31.52
1515.0,31.47
1510.0,31.35
1505.0,31.30
1500.0,31.22
1495.0,31.03
1490.0,30.99
1485.0,30.94
1480.0,30.90
1475.0,30.78
1470.0,30.80
1465.0,30.74
1460.0,30.71
1455.0,30.62
1450.0,30.62
1445.0,30.61
1440.0,30.50
1435.0,30.42
1430.0,30.26
1425.0,30.20
1420.0,30.09
1415.0,30.02
1410.0,30.01
1405.0,29.90
1400.0,29.86
1395.0,29.86
1390.0,29.79
1385.0,29.77
1380.0,29.65
1375.0,29.59
1370.0,29.47
1365.0,29.39
1360.0,29.30
1355.0,29.29
1350.0,29.14
1345.0,29.07
1340.0,28.97
1335.0,28.91
1330.0,28.83
1325.0,28.78
1320.0,28.70
1315.0,28.56
1310.0,28.53
1305.0,28.43
1300.0,28.38
1295.0,28.23
1290.0,28.25
1285.0,28.12
1280.0,28.11
1275.0,27.95
1270.0,27.88
1265.0,27.86
1260.0,27.79
1255.0,27.66
