Wave (nm),7-Aug,4-Sep-05
615,0.2641,0.15656
616,0.26397,0.15663
617,0.26397,0.15676
618,0.26575,0.15793
619,0.26661,0.15851
620,0.2676,0.15913
621,0.26629,0.15815
622,0.26518,0.15735
623,0.2628,0.15578
624,0.26058,0.1542
625,0.25942,0.15285
626,0.25762,0.15087
627,0.25648,0.14904
628,0.25498,0.14749
629,0.25466,0.14726
630,0.25425,0.1476
631,0.25541,0.14931
632,0.25625,0.15079
633,0.25775,0.15262
634,0.25848,0.15378
635,0.25983,0.15531
636,0.2604,0.15636
637,0.26102,0.15737
638,0.26115,0.15794
639,0.26038,0.1579
640,0.25957,0.15778
641,0.25895,0.15781
642,0.25905,0.15822
643,0.25874,0.1583
644,0.25794,0.15805
645,0.25564,0.15676
646,0.2537,0.15563
647,0.25108,0.15402
648,0.25028,0.15362
649,0.24979,0.15346
650,0.25085,0.15426
651,0.25166,0.15492
652,0.25113,0.15479
653,0.24929,0.15386
654,0.24326,0.15028
655,0.23812,0.14704
656,0.23521,0.14522
657,0.23908,0.14788
658,0.24538,0.1521
659,0.25118,0.15589
660,0.25445,0.15797
661,0.25583,0.15897
662,0.25599,0.15919
663,0.25614,0.1594
664,0.25577,0.1593
665,0.25546,0.15925
666,0.25567,0.15951
667,0.25531,0.15942
668,0.25535,0.15952
669,0.25449,0.15908
670,0.25389,0.15882
671,0.25295,0.15833
672,0.25275,0.15833
673,0.25249,0.15829
674,0.25268,0.15844
675,0.2522,0.1582
676,0.2523,0.15834
677,0.25189,0.15819
678,0.25119,0.15783
679,0.25102,0.15778
680,0.2502,0.15727
681,0.24964,0.15691
682,0.24802,0.15585
683,0.24573,0.15425
684,0.23886,0.14895
685,0.22715,0.13842
686,0.21334,0.12545
687,0.20315,0.11471
688,0.20357,0.11444
689,0.20825,0.11874
690,0.21474,0.12594
691,0.21934,0.13223
692,0.22168,0.13641
693,0.22248,0.13881
694,0.22407,0.1405
695,0.22664,0.14262
696,0.22951,0.14478
697,0.23006,0.14523
698,0.22835,0.14412
699,0.22589,0.14253
700,0.224,0.14139
701,0.22393,0.14143
702,0.22537,0.14248
703,0.22734,0.14392
704,0.22911,0.145
705,0.2299,0.14548
706,0.23024,0.1457
707,0.23071,0.14607
708,0.23069,0.14611
709,0.23093,0.1463
710,0.23057,0.1461
711,0.22996,0.14566
712,0.22853,0.14474
713,0.22677,0.1437
714,0.22097,0.14047
715,0.21091,0.13466
716,0.19706,0.12641
717,0.18207,0.11694
718,0.17498,0.11198
719,0.17499,0.11145
720,0.18403,0.11688
721,0.19068,0.12131
722,0.19209,0.12236
723,0.18663,0.11887
724,0.18355,0.11709
725,0.1825,0.11651
726,0.18326,0.11699
727,0.18345,0.11699
728,0.18445,0.11765
729,0.18625,0.11885
730,0.19004,0.12122
731,0.1963,0.12514
732,0.20285,0.12924
733,0.20864,0.13287
734,0.20987,0.13339
735,0.21056,0.13363
736,0.21051,0.13346
737,0.21115,0.13384
738,0.21143,0.134
739,0.21195,0.1343
740,0.21252,0.13461
741,0.21388,0.13536
742,0.21518,0.13611
743,0.21661,0.137
744,0.21694,0.13708
745,0.21726,0.13718
746,0.21736,0.13717
747,0.21675,0.13668
748,0.21592,0.13606
749,0.21468,0.1352
750,0.21401,0.13472
751,0.21381,0.13454
752,0.2139,0.13454
753,0.21395,0.13452
754,0.21348,0.1341
755,0.21215,0.13313
756,0.20961,0.13139
757,0.19548,0.12213
758,0.15873,0.09597
759,0.11248,0.06203
760,0.08001,0.03545
761,0.07954,0.03122
762,0.08837,0.03434
763,0.09769,0.03939
764,0.11852,0.05564
765,0.14192,0.0747
766,0.16638,0.09529
767,0.18304,0.10956
768,0.19356,0.11862
769,0.19976,0.12392
770,0.20224,0.12603
771,0.20368,0.12712
772,0.20429,0.12758
773,0.2045,0.12778
774,0.20425,0.12758
775,0.20423,0.12753
776,0.20457,0.12772
777,0.20382,0.12713
778,0.20339,0.12677
779,0.2031,0.12653
780,0.20317,0.12655
781,0.2029,0.12637
782,0.20242,0.12606
783,0.20134,0.12534
784,0.201,0.12517
785,0.20018,0.12471
786,0.19881,0.12388
787,0.19652,0.12239
788,0.19436,0.12092
789,0.19232,0.1195
790,0.1912,0.11871
791,0.19024,0.11804
792,0.18941,0.11749
