Created as New Dataset,
nm,%T
2500.0,51.37
2495.0,50.40
2490.0,50.24
2485.0,50.54
2480.0,51.59
2475.0,49.74
2470.0,48.85
2465.0,49.18
2460.0,48.03
2455.0,50.97
2450.0,50.38
2445.0,49.26
2440.0,51.39
2435.0,50.29
2430.0,48.77
2425.0,50.06
2420.0,50.77
2415.0,49.99
2410.0,49.25
2405.0,49.49
2400.0,49.99
2395.0,49.13
2390.0,50.13
2385.0,49.95
2380.0,50.76
2375.0,49.54
2370.0,49.50
2365.0,48.13
2360.0,49.33
2355.0,49.74
2350.0,48.92
2345.0,49.18
2340.0,49.52
2335.0,49.39
2330.0,50.19
2325.0,48.43
2320.0,49.42
2315.0,49.71
2310.0,49.31
2305.0,48.80
2300.0,48.93
2295.0,48.61
2290.0,49.29
2285.0,48.58
2280.0,48.36
2275.0,48.88
2270.0,48.76
2265.0,48.34
2260.0,48.59
2255.0,47.98
2250.0,48.62
2245.0,48.36
2240.0,48.20
2235.0,47.98
2230.0,47.57
2225.0,47.81
2220.0,48.45
2215.0,48.95
2210.0,48.84
2205.0,48.76
2200.0,48.51
2195.0,48.72
2190.0,48.83
2185.0,49.45
2180.0,48.81
2175.0,49.09
2170.0,49.88
2165.0,49.90
2160.0,49.70
2155.0,50.14
2150.0,50.43
2145.0,50.22
2140.0,50.00
2135.0,50.19
2130.0,50.51
2125.0,49.93
2120.0,50.22
2115.0,49.67
2110.0,49.79
2105.0,49.54
2100.0,49.61
2095.0,49.41
2090.0,49.06
2085.0,49.46
2080.0,49.47
2075.0,49.04
2070.0,49.40
2065.0,49.21
2060.0,49.12
2055.0,49.15
2050.0,49.01
2045.0,49.25
2040.0,49.17
2035.0,49.19
2030.0,48.67
2025.0,48.87
2020.0,48.74
2015.0,48.74
2010.0,48.73
2005.0,48.46
2000.0,48.50
1995.0,48.52
1990.0,48.39
1985.0,48.34
1980.0,48.33
1975.0,48.32
1970.0,48.32
1965.0,48.39
1960.0,48.23
1955.0,48.44
1950.0,48.42
1945.0,48.32
1940.0,48.50
1935.0,48.71
1930.0,48.78
1925.0,48.78
1920.0,49.01
1915.0,49.05
1910.0,48.78
1905.0,48.85
1900.0,48.83
1895.0,48.83
1890.0,48.91
1885.0,48.76
1880.0,49.07
1875.0,49.36
1870.0,49.23
1865.0,49.29
1860.0,49.23
1855.0,49.21
1850.0,49.15
1845.0,49.50
1840.0,49.47
1835.0,49.45
1830.0,49.40
1825.0,49.41
1820.0,49.29
1815.0,49.58
1810.0,49.48
1805.0,49.54
1800.0,49.63
1795.0,49.71
1790.0,49.66
1785.0,49.82
1780.0,49.86
1775.0,50.05
1770.0,49.99
1765.0,50.09
1760.0,50.14
1755.0,50.12
1750.0,50.30
1745.0,50.29
1740.0,50.44
1735.0,50.52
1730.0,50.59
1725.0,50.66
1720.0,50.66
1715.0,50.67
1710.0,50.79
1705.0,50.85
1700.0,50.91
1695.0,50.96
1690.0,50.92
1685.0,51.05
1680.0,51.07
1675.0,51.12
1670.0,51.14
1665.0,51.25
1660.0,51.30
1655.0,51.33
1650.0,51.38
1645.0,51.45
1640.0,51.45
1635.0,51.58
1630.0,51.63
1625.0,51.61
1620.0,51.78
1615.0,51.77
1610.0,51.85
1605.0,51.88
1600.0,51.99
1595.0,52.10
1590.0,52.15
1585.0,52.23
1580.0,52.30
1575.0,52.30
1570.0,52.46
1565.0,52.54
1560.0,52.63
1555.0,52.76
1550.0,52.76
1545.0,52.84
1540.0,52.96
1535.0,53.04
1530.0,53.15
1525.0,53.18
1520.0,53.27
1515.0,53.38
1510.0,53.54
1505.0,53.57
1500.0,53.76
1495.0,53.79
1490.0,53.87
1485.0,53.91
1480.0,54.03
1475.0,54.14
1470.0,54.24
1465.0,54.31
1460.0,54.45
1455.0,54.53
1450.0,54.61
1445.0,54.75
1440.0,54.84
1435.0,54.98
1430.0,55.08
1425.0,55.18
1420.0,55.35
1415.0,55.40
1410.0,55.56
1405.0,55.69
1400.0,55.86
1395.0,55.94
1390.0,56.10
1385.0,56.23
1380.0,56.32
1375.0,56.47
1370.0,56.56
1365.0,56.72
1360.0,56.87
1355.0,56.95
1350.0,57.00
1345.0,57.08
1340.0,57.24
1335.0,57.35
1330.0,57.53
1325.0,57.58
1320.0,57.67
1315.0,57.83
1310.0,57.90
1305.0,58.05
1300.0,58.14
1295.0,58.26
1290.0,58.38
1285.0,58.49
1280.0,58.62
1275.0,58.75
1270.0,58.86
1265.0,59.02
1260.0,59.13
1255.0,59.30
1250.0,59.37
1245.0,59.46
1240.0,59.55
1235.0,59.69
1230.0,59.78
1225.0,59.94
1220.0,60.05
1215.0,60.14
1210.0,60.30
1205.0,60.39
1200.0,60.51
1195.0,60.62
1190.0,60.73
1185.0,60.82
1180.0,60.92
1175.0,61.02
1170.0,61.13
1165.0,61.19
1160.0,61.32
1155.0,61.42
1150.0,61.53
1145.0,61.62
1140.0,61.73
1135.0,61.78
1130.0,61.92
1125.0,61.97
1120.0,62.00
1115.0,62.15
1110.0,62.19
1105.0,62.23
1100.0,62.26
1095.0,62.37
1090.0,62.44
1085.0,62.45
1080.0,62.54
1075.0,62.55
1070.0,62.69
1065.0,62.68
1060.0,62.75
1055.0,62.75
1050.0,62.75
1045.0,62.80
1040.0,62.78
1035.0,62.81
1030.0,62.80
1025.0,62.83
1020.0,62.82
1015.0,62.86
1010.0,62.80
1005.0,62.82
1000.0,62.84
995.0,62.79
990.0,62.74
985.0,62.72
980.0,62.72
975.0,62.64
970.0,62.61
965.0,62.60
960.0,62.54
955.0,62.46
950.0,62.41
945.0,62.37
940.0,62.32
935.0,62.28
930.0,62.21
925.0,62.15
920.0,62.04
915.0,62.04
910.0,61.94
905.0,61.80
900.0,61.76
895.0,61.78
890.0,61.54
885.0,61.35
880.0,61.30
875.0,61.06
870.0,61.20
865.0,60.97
860.0,60.80
855.0,59.53
850.0,59.52
845.0,59.49
840.0,59.29
835.0,58.92
830.0,58.81
825.0,58.81
820.0,58.60
815.0,58.44
810.0,58.24
805.0,57.96
800.0,57.90
795.0,57.75
790.0,57.88
785.0,57.60
780.0,57.48
775.0,57.15
770.0,57.16
765.0,56.97
760.0,56.91
755.0,56.69
750.0,56.68
745.0,56.54
740.0,56.37
735.0,56.21
730.0,56.08
725.0,56.10
720.0,55.90
715.0,55.87
710.0,55.81
705.0,55.73
700.0,55.67
695.0,55.67
690.0,55.59
685.0,55.57
680.0,55.46
675.0,55.53
670.0,55.38
665.0,55.43
660.0,55.37
655.0,55.48
650.0,55.43
645.0,55.49
640.0,55.50
635.0,55.52
630.0,55.53
625.0,55.52
620.0,55.63
615.0,55.65
610.0,55.74
605.0,55.77
600.0,55.83
595.0,55.84
590.0,55.96
585.0,55.99
580.0,56.08
575.0,56.15
570.0,56.19
565.0,56.27
560.0,56.36
555.0,56.42
550.0,56.47
545.0,56.47
540.0,56.53
535.0,56.51
530.0,56.52
525.0,56.47
520.0,56.41
515.0,56.38
510.0,56.37
505.0,56.42
500.0,56.38
495.0,56.46
490.0,56.47
485.0,56.54
480.0,56.52
475.0,56.44
470.0,56.40
465.0,56.40
460.0,56.41
455.0,56.34
450.0,56.33
445.0,56.31
440.0,56.32
435.0,56.31
430.0,56.33
425.0,56.40
420.0,56.44
415.0,56.42
410.0,56.47
405.0,56.51
400.0,56.57
395.0,56.88
390.0,56.97
385.0,57.22
380.0,57.48
375.0,57.82
370.0,58.30
365.0,58.76
360.0,59.08
355.0,59.41
350.0,59.68
345.0,60.10
340.0,60.19
335.0,60.37
330.0,60.75
325.0,60.98
320.0,61.30
315.0,61.66
310.0,60.83
305.0,60.02
300.0,59.90
295.0,60.25
290.0,60.20
285.0,59.39
280.0,58.41
275.0,57.38
270.0,55.99
265.0,56.47
260.0,55.92
255.0,57.98
250.0,70.03
245.0,70.03
240.0,70.03
235.0,70.03
230.0,70.03
225.0,70.03
220.0,70.03
215.0,70.03
210.0,70.03
205.0,70.03
200.0,70.03
