Created as New Dataset,
nm,%R
2500.0,61.70
2495.0,64.69
2490.0,60.76
2485.0,62.65
2480.0,61.79
2475.0,62.95
2470.0,62.92
2465.0,62.67
2460.0,63.13
2455.0,61.07
2450.0,62.27
2445.0,64.82
2440.0,63.00
2435.0,65.43
2430.0,62.48
2425.0,63.66
2420.0,64.35
2415.0,62.98
2410.0,63.21
2405.0,64.00
2400.0,62.61
2395.0,63.84
2390.0,61.94
2385.0,62.53
2380.0,63.51
2375.0,63.99
2370.0,63.62
2365.0,62.63
2360.0,63.49
2355.0,61.94
2350.0,63.61
2345.0,62.34
2340.0,62.59
2335.0,61.88
2330.0,61.84
2325.0,63.35
2320.0,61.74
2315.0,62.71
2310.0,61.92
2305.0,61.48
2300.0,62.02
2295.0,62.06
2290.0,62.03
2285.0,61.97
2280.0,61.61
2275.0,61.35
2270.0,61.84
2265.0,61.69
2260.0,61.89
2255.0,61.24
2250.0,61.39
2245.0,61.65
2240.0,60.17
2235.0,60.48
2230.0,60.94
2225.0,60.91
2220.0,61.36
2215.0,61.08
2210.0,61.36
2205.0,61.14
2200.0,61.33
2195.0,61.90
2190.0,61.64
2185.0,61.81
2180.0,62.48
2175.0,62.77
2170.0,62.56
2165.0,62.31
2160.0,62.99
2155.0,63.24
2150.0,63.30
2145.0,63.17
2140.0,63.17
2135.0,63.03
2130.0,63.84
2125.0,63.03
2120.0,63.13
2115.0,62.81
2110.0,62.38
2105.0,62.59
2100.0,62.29
2095.0,62.82
2090.0,62.51
2085.0,62.60
2080.0,62.02
2075.0,62.19
2070.0,62.19
2065.0,62.13
2060.0,61.83
2055.0,61.82
2050.0,61.68
2045.0,61.57
2040.0,61.54
2035.0,61.46
2030.0,61.25
2025.0,61.05
2020.0,61.05
2015.0,60.80
2010.0,60.82
2005.0,60.60
2000.0,60.54
1995.0,60.33
1990.0,60.26
1985.0,60.26
1980.0,59.99
1975.0,60.06
1970.0,59.80
1965.0,59.88
1960.0,59.76
1955.0,59.81
1950.0,59.70
1945.0,59.79
1940.0,59.88
1935.0,59.79
1930.0,59.60
1925.0,59.62
1920.0,59.68
1915.0,59.54
1910.0,59.57
1905.0,59.80
1900.0,59.59
1895.0,59.50
1890.0,59.41
1885.0,59.38
1880.0,59.43
1875.0,59.39
1870.0,59.39
1865.0,59.34
1860.0,59.15
1855.0,59.28
1850.0,59.29
1845.0,59.19
1840.0,59.05
1835.0,59.03
1830.0,58.99
1825.0,58.91
1820.0,58.76
1815.0,58.76
1810.0,58.77
1805.0,58.61
1800.0,58.61
1795.0,58.59
1790.0,58.43
1785.0,58.59
1780.0,58.54
1775.0,58.53
1770.0,58.43
1765.0,58.40
1760.0,58.35
1755.0,58.39
1750.0,58.27
1745.0,58.31
1740.0,58.29
1735.0,58.26
1730.0,58.20
1725.0,58.22
1720.0,58.14
1715.0,58.06
1710.0,57.93
1705.0,57.91
1700.0,57.77
1695.0,57.70
1690.0,57.59
1685.0,57.53
1680.0,57.47
1675.0,57.37
1670.0,57.33
1665.0,57.34
1660.0,57.17
1655.0,57.06
1650.0,56.98
1645.0,56.89
1640.0,56.82
1635.0,56.73
1630.0,56.68
1625.0,56.61
1620.0,56.52
1615.0,56.45
1610.0,56.37
1605.0,56.26
1600.0,56.23
1595.0,56.13
1590.0,56.00
1585.0,55.93
1580.0,55.91
1575.0,55.80
1570.0,55.71
1565.0,55.63
1560.0,55.55
1555.0,55.48
1550.0,55.37
1545.0,55.30
1540.0,55.16
1535.0,55.09
1530.0,54.96
1525.0,54.94
1520.0,54.80
1515.0,54.71
1510.0,54.57
1505.0,54.48
1500.0,54.36
1495.0,54.21
1490.0,54.10
1485.0,54.01
1480.0,53.89
1475.0,53.78
1470.0,53.74
1465.0,53.66
1460.0,53.62
1455.0,53.55
1450.0,53.50
1445.0,53.37
1440.0,53.20
1435.0,53.13
1430.0,52.99
1425.0,52.85
1420.0,52.76
1415.0,52.60
1410.0,52.47
1405.0,52.39
1400.0,52.30
1395.0,52.18
1390.0,52.10
1385.0,51.95
1380.0,51.89
1375.0,51.78
1370.0,51.63
1365.0,51.49
1360.0,51.41
1355.0,51.26
1350.0,51.15
1345.0,51.02
1340.0,50.94
1335.0,50.81
1330.0,50.74
1325.0,50.61
1320.0,50.43
1315.0,50.29
1310.0,50.18
1305.0,50.07
1300.0,49.88
1295.0,49.76
1290.0,49.62
1285.0,49.51
1280.0,49.33
1275.0,49.19
1270.0,49.05
1265.0,48.98
1260.0,48.85
1255.0,48.67
1250.0,48.56
1245.0,48.35
1240.0,48.22
1235.0,48.06
1230.0,47.92
1225.0,47.80
1220.0,47.73
1215.0,47.60
1210.0,47.47
1205.0,47.33
1200.0,47.20
1195.0,47.09
1190.0,46.92
1185.0,46.77
1180.0,46.58
1175.0,46.48
1170.0,46.33
1165.0,46.22
1160.0,46.08
1155.0,46.01
1150.0,45.86
1145.0,45.75
1140.0,45.63
1135.0,45.48
1130.0,45.37
1125.0,45.30
1120.0,45.16
1115.0,45.07
1110.0,45.00
1105.0,44.90
1100.0,44.88
1095.0,44.74
1090.0,44.66
1085.0,44.53
1080.0,44.40
1075.0,44.44
1070.0,44.33
1065.0,44.24
1060.0,44.23
1055.0,44.16
1050.0,44.06
1045.0,44.04
1040.0,44.00
1035.0,43.98
1030.0,43.92
1025.0,43.95
1020.0,43.87
1015.0,43.93
1010.0,43.86
1005.0,43.84
1000.0,43.86
995.0,43.84
990.0,43.87
985.0,43.89
980.0,43.94
975.0,44.01
970.0,44.14
965.0,44.23
960.0,44.32
955.0,44.32
950.0,44.43
945.0,44.51
940.0,44.61
935.0,44.68
930.0,44.79
925.0,44.85
920.0,45.00
915.0,45.12
910.0,45.19
905.0,45.45
900.0,45.57
895.0,45.57
890.0,45.82
885.0,46.16
880.0,46.09
875.0,46.24
870.0,46.60
865.0,46.86
860.0,46.91
855.0,46.21
850.0,43.75
845.0,45.98
840.0,45.95
835.0,46.65
830.0,47.09
825.0,47.76
820.0,47.59
815.0,47.94
810.0,48.15
805.0,48.48
800.0,48.48
795.0,48.86
790.0,48.85
785.0,48.97
780.0,49.18
775.0,49.45
770.0,49.56
765.0,49.60
760.0,49.88
755.0,50.06
750.0,50.00
745.0,50.32
740.0,50.44
735.0,50.58
730.0,50.77
725.0,50.80
720.0,50.97
715.0,51.18
710.0,51.19
705.0,51.29
700.0,51.36
695.0,51.41
690.0,51.55
685.0,51.62
680.0,51.68
675.0,51.69
670.0,51.91
665.0,51.86
660.0,51.95
655.0,51.96
650.0,51.97
645.0,52.03
640.0,52.02
635.0,52.11
630.0,52.11
625.0,52.05
620.0,52.03
615.0,52.08
610.0,52.09
605.0,52.05
600.0,51.97
595.0,52.02
590.0,52.03
585.0,52.11
580.0,52.02
575.0,52.05
570.0,52.03
565.0,52.06
560.0,52.09
555.0,52.13
550.0,52.16
545.0,52.19
540.0,52.28
535.0,52.34
530.0,52.39
525.0,52.51
520.0,52.61
515.0,52.71
510.0,52.80
505.0,52.99
500.0,53.15
495.0,53.32
490.0,53.50
485.0,53.75
480.0,53.97
475.0,54.12
470.0,54.41
465.0,54.69
460.0,54.96
455.0,55.22
450.0,55.43
445.0,55.75
440.0,56.11
435.0,56.50
430.0,56.83
425.0,57.24
420.0,57.65
415.0,58.09
410.0,58.48
405.0,58.97
400.0,59.53
395.0,60.05
390.0,60.72
385.0,61.42
380.0,62.36
375.0,63.17
370.0,64.30
365.0,65.23
360.0,66.42
355.0,67.44
350.0,68.47
345.0,69.61
340.0,70.41
335.0,71.23
330.0,72.78
325.0,73.35
320.0,74.28
315.0,74.53
310.0,73.71
305.0,73.65
300.0,73.61
295.0,75.78
290.0,74.87
285.0,75.50
280.0,76.28
275.0,75.68
270.0,76.75
265.0,77.47
260.0,78.00
255.0,84.22
250.0,95.16
245.0,95.18
240.0,98.78
235.0,98.78
230.0,98.78
225.0,98.78
220.0,98.78
215.0,98.78
210.0,98.78
205.0,98.78
200.0,98.78
