Created as New Dataset,
nm,%T
2500.0,42.52
2495.0,40.13
2490.0,39.58
2485.0,41.92
2480.0,42.62
2475.0,41.11
2470.0,41.48
2465.0,42.40
2460.0,40.06
2455.0,41.23
2450.0,43.79
2445.0,41.50
2440.0,41.06
2435.0,42.05
2430.0,42.13
2425.0,41.87
2420.0,42.98
2415.0,42.81
2410.0,40.72
2405.0,42.55
2400.0,41.56
2395.0,42.41
2390.0,41.69
2385.0,43.13
2380.0,42.39
2375.0,41.34
2370.0,42.64
2365.0,40.68
2360.0,41.75
2355.0,43.30
2350.0,40.67
2345.0,41.80
2340.0,41.36
2335.0,40.23
2330.0,41.79
2325.0,41.64
2320.0,40.19
2315.0,41.34
2310.0,40.95
2305.0,41.18
2300.0,40.19
2295.0,41.37
2290.0,41.53
2285.0,40.55
2280.0,41.10
2275.0,41.46
2270.0,40.84
2265.0,40.91
2260.0,40.46
2255.0,40.76
2250.0,40.52
2245.0,39.90
2240.0,40.06
2235.0,40.35
2230.0,40.36
2225.0,40.44
2220.0,40.84
2215.0,40.63
2210.0,40.12
2205.0,40.85
2200.0,41.00
2195.0,40.72
2190.0,40.95
2185.0,41.29
2180.0,41.15
2175.0,41.55
2170.0,41.47
2165.0,41.98
2160.0,41.60
2155.0,41.96
2150.0,42.06
2145.0,42.05
2140.0,41.54
2135.0,42.06
2130.0,41.93
2125.0,41.75
2120.0,41.87
2115.0,41.66
2110.0,41.37
2105.0,41.55
2100.0,41.11
2095.0,41.56
2090.0,41.70
2085.0,41.46
2080.0,41.03
2075.0,41.03
2070.0,41.05
2065.0,41.51
2060.0,41.24
2055.0,41.04
2050.0,40.91
2045.0,41.30
2040.0,40.86
2035.0,41.09
2030.0,40.99
2025.0,40.98
2020.0,40.77
2015.0,40.74
2010.0,40.87
2005.0,40.80
2000.0,40.48
1995.0,40.58
1990.0,40.33
1985.0,40.54
1980.0,40.60
1975.0,40.51
1970.0,40.45
1965.0,40.50
1960.0,40.45
1955.0,40.54
1950.0,40.55
1945.0,40.67
1940.0,40.66
1935.0,40.80
1930.0,40.93
1925.0,40.90
1920.0,40.97
1915.0,40.86
1910.0,40.85
1905.0,40.82
1900.0,40.98
1895.0,40.96
1890.0,41.18
1885.0,40.94
