Created as New Dataset,
nm,%R
2500.0,60.65
2495.0,58.95
2490.0,58.46
2485.0,60.69
2480.0,59.03
2475.0,60.20
2470.0,59.42
2465.0,59.77
2460.0,59.60
2455.0,59.61
2450.0,59.36
2445.0,59.86
2440.0,59.94
2435.0,58.88
2430.0,58.26
2425.0,60.37
2420.0,60.01
2415.0,59.70
2410.0,58.92
2405.0,59.11
2400.0,58.75
2395.0,57.47
2390.0,59.04
2385.0,59.46
2380.0,59.67
2375.0,58.60
2370.0,58.74
2365.0,60.24
2360.0,58.89
2355.0,60.36
2350.0,60.72
2345.0,59.69
2340.0,59.11
2335.0,59.43
2330.0,58.45
2325.0,58.68
2320.0,59.53
2315.0,59.16
2310.0,57.96
2305.0,58.37
2300.0,58.92
2295.0,58.12
2290.0,58.90
2285.0,58.93
2280.0,58.22
2275.0,58.13
2270.0,58.02
2265.0,58.54
2260.0,57.77
2255.0,57.57
2250.0,57.60
2245.0,57.52
2240.0,57.37
2235.0,57.35
2230.0,57.69
2225.0,58.02
2220.0,57.42
2215.0,57.52
2210.0,57.76
2205.0,57.84
2200.0,58.42
2195.0,58.52
2190.0,58.04
2185.0,58.29
2180.0,58.83
2175.0,58.97
2170.0,59.29
2165.0,59.12
2160.0,59.76
2155.0,59.49
2150.0,59.64
2145.0,59.92
2140.0,59.68
2135.0,59.69
2130.0,59.22
2125.0,59.32
2120.0,59.26
2115.0,59.16
2110.0,58.99
2105.0,59.20
2100.0,59.02
2095.0,58.78
2090.0,58.84
2085.0,58.53
2080.0,58.63
2075.0,58.44
2070.0,58.28
2065.0,58.08
2060.0,58.37
2055.0,57.87
2050.0,58.07
2045.0,57.80
2040.0,58.05
2035.0,57.83
2030.0,57.65
2025.0,57.49
2020.0,57.28
2015.0,57.23
2010.0,57.31
2005.0,57.06
2000.0,56.92
1995.0,56.88
1990.0,56.78
1985.0,56.80
1980.0,56.77
1975.0,56.55
1970.0,56.69
1965.0,56.66
1960.0,56.53
1955.0,56.63
1950.0,56.58
1945.0,56.36
1940.0,56.43
1935.0,56.50
1930.0,56.54
1925.0,56.34
1920.0,56.26
1915.0,56.11
1910.0,56.14
1905.0,56.20
1900.0,55.90
1895.0,56.14
1890.0,55.84
1885.0,55.96
1880.0,56.01
1875.0,55.79
1870.0,55.94
1865.0,55.76
1860.0,55.67
1855.0,55.74
1850.0,55.47
1845.0,55.52
1840.0,55.33
1835.0,55.31
1830.0,55.42
1825.0,55.35
1820.0,55.24
1815.0,55.24
1810.0,55.00
1805.0,55.01
1800.0,55.12
1795.0,55.01
1790.0,55.01
1785.0,55.05
1780.0,54.89
1775.0,54.95
1770.0,54.88
1765.0,54.94
1760.0,54.77
1755.0,54.86
1750.0,54.77
1745.0,54.79
1740.0,54.68
1735.0,54.71
1730.0,54.66
1725.0,54.57
1720.0,54.56
1715.0,54.44
1710.0,54.41
1705.0,54.30
1700.0,54.25
1695.0,54.16
1690.0,54.03
1685.0,53.89
1680.0,53.86
1675.0,53.83
1670.0,53.68
1665.0,53.64
1660.0,53.50
1655.0,53.53
1650.0,53.39
1645.0,53.34
1640.0,53.26
1635.0,53.11
1630.0,53.09
1625.0,53.04
1620.0,52.96
1615.0,52.86
1610.0,52.74
1605.0,52.73
1600.0,52.57
1595.0,52.51
1590.0,52.48
1585.0,52.37
1580.0,52.30
1575.0,52.20
1570.0,52.10
1565.0,52.06
1560.0,51.99
1555.0,51.88
1550.0,51.77
1545.0,51.69
1540.0,51.58
1535.0,51.48
1530.0,51.44
1525.0,51.31
1520.0,51.20
1515.0,51.13
1510.0,51.03
1505.0,50.94
1500.0,50.81
1495.0,50.67
1490.0,50.52
1485.0,50.40
1480.0,50.28
1475.0,50.21
1470.0,50.11
1465.0,49.99
1460.0,49.95
1455.0,50.02
1450.0,50.02
1445.0,49.91
1440.0,49.85
1435.0,49.71
1430.0,49.56
1425.0,49.36
1420.0,49.26
1415.0,49.21
1410.0,49.02
1405.0,48.96
1400.0,48.77
1395.0,48.65
1390.0,48.55
1385.0,48.43
1380.0,48.33
1375.0,48.22
1370.0,48.02
1365.0,47.87
1360.0,47.79
1355.0,47.69
1350.0,47.58
1345.0,47.54
1340.0,47.46
1335.0,47.38
1330.0,47.27
1325.0,47.11
1320.0,46.99
1315.0,46.87
1310.0,46.72
1305.0,46.58
1300.0,46.49
1295.0,46.31
1290.0,46.23
1285.0,46.06
1280.0,45.96
1275.0,45.80
1270.0,45.61
1265.0,45.50
1260.0,45.42
1255.0,45.25
1250.0,45.16
1245.0,44.98
1240.0,44.84
1235.0,44.71
1230.0,44.56
1225.0,44.43
1220.0,44.32
1215.0,44.17
1210.0,44.08
1205.0,43.99
1200.0,43.79
1195.0,43.67
1190.0,43.54
1185.0,43.42
1180.0,43.26
1175.0,43.10
1170.0,43.00
1165.0,42.92
1160.0,42.75
1155.0,42.67
1150.0,42.56
1145.0,42.45
1140.0,42.31
1135.0,42.14
1130.0,42.10
1125.0,42.01
1120.0,41.85
1115.0,41.79
1110.0,41.68
1105.0,41.58
1100.0,41.55
1095.0,41.48
1090.0,41.32
1085.0,41.24
1080.0,41.21
1075.0,41.10
1070.0,41.02
1065.0,40.96
1060.0,40.95
1055.0,40.84
1050.0,40.79
1045.0,40.79
1040.0,40.74
1035.0,40.72
1030.0,40.62
1025.0,40.64
1020.0,40.61
1015.0,40.62
1010.0,40.56
1005.0,40.56
1000.0,40.54
995.0,40.53
990.0,40.56
985.0,40.49
980.0,40.59
975.0,40.67
970.0,40.79
965.0,40.90
960.0,40.97
955.0,41.07
950.0,41.14
945.0,41.13
940.0,41.26
935.0,41.34
930.0,41.48
925.0,41.62
920.0,41.74
915.0,41.88
910.0,41.97
905.0,42.18
900.0,42.33
895.0,42.44
890.0,42.61
885.0,42.90
880.0,43.05
875.0,43.14
870.0,43.27
865.0,43.78
860.0,43.55
855.0,43.16
850.0,41.56
845.0,42.23
840.0,43.05
835.0,43.92
830.0,44.67
825.0,44.39
820.0,44.95
815.0,45.29
810.0,45.55
805.0,45.48
800.0,46.04
795.0,46.02
790.0,46.18
785.0,46.36
780.0,46.51
775.0,46.72
770.0,46.96
765.0,47.08
760.0,47.24
755.0,47.41
750.0,47.49
745.0,47.66
740.0,47.79
735.0,48.01
730.0,48.22
725.0,48.25
720.0,48.43
715.0,48.58
710.0,48.63
705.0,48.84
700.0,48.97
695.0,49.01
690.0,49.17
685.0,49.25
680.0,49.26
675.0,49.31
670.0,49.50
665.0,49.44
660.0,49.54
655.0,49.60
650.0,49.68
645.0,49.72
640.0,49.80
635.0,49.79
630.0,49.86
625.0,49.78
620.0,49.89
615.0,49.84
610.0,49.78
605.0,49.82
600.0,49.78
595.0,49.80
590.0,49.83
585.0,49.79
580.0,49.81
575.0,49.83
570.0,49.84
565.0,49.87
560.0,49.90
555.0,49.92
550.0,49.96
545.0,49.96
540.0,50.07
535.0,50.10
530.0,50.17
525.0,50.22
520.0,50.34
515.0,50.46
510.0,50.54
505.0,50.70
500.0,50.79
495.0,50.96
490.0,51.16
485.0,51.36
480.0,51.55
475.0,51.80
470.0,52.05
465.0,52.31
460.0,52.51
455.0,52.77
450.0,53.02
445.0,53.29
440.0,53.66
435.0,53.98
430.0,54.36
425.0,54.73
420.0,55.19
415.0,55.59
410.0,56.02
405.0,56.50
400.0,56.92
395.0,57.55
390.0,58.24
385.0,59.06
380.0,59.85
375.0,60.75
370.0,61.59
365.0,62.80
360.0,63.71
355.0,64.96
350.0,66.00
345.0,67.14
340.0,68.32
335.0,69.64
330.0,70.88
325.0,71.87
320.0,73.12
315.0,74.26
310.0,74.18
305.0,74.13
300.0,74.75
295.0,75.98
290.0,75.64
285.0,77.43
