Created as New Dataset,
nm,%T
2500.0,57.08
2495.0,55.60
2490.0,55.03
2485.0,54.14
2480.0,53.36
2475.0,54.59
2470.0,54.19
2465.0,54.06
2460.0,55.02
2455.0,55.60
2450.0,54.26
2445.0,53.94
2440.0,55.51
2435.0,53.97
2430.0,54.16
2425.0,55.13
2420.0,56.72
2415.0,54.27
2410.0,53.91
2405.0,55.92
2400.0,54.63
2395.0,55.27
2390.0,54.67
2385.0,53.43
2380.0,55.53
2375.0,54.14
2370.0,55.08
2365.0,55.04
2360.0,52.68
2355.0,53.61
2350.0,53.92
2345.0,53.59
2340.0,53.50
2335.0,54.64
2330.0,53.46
2325.0,54.38
2320.0,53.07
2315.0,53.66
2310.0,53.37
2305.0,53.21
2300.0,53.19
2295.0,53.48
2290.0,53.31
2285.0,53.08
2280.0,53.26
2275.0,53.05
2270.0,53.18
2265.0,52.72
2260.0,52.46
2255.0,52.89
2250.0,52.96
2245.0,52.56
2240.0,53.37
2235.0,52.50
2230.0,52.80
2225.0,52.15
2220.0,52.63
2215.0,53.09
2210.0,52.24
2205.0,53.12
2200.0,52.88
2195.0,52.76
2190.0,53.41
2185.0,52.95
2180.0,53.51
2175.0,54.14
2170.0,53.14
2165.0,53.53
2160.0,54.54
2155.0,54.01
2150.0,54.79
2145.0,55.05
2140.0,54.35
2135.0,54.33
2130.0,53.78
2125.0,53.81
2120.0,54.55
2115.0,54.05
2110.0,53.63
2105.0,53.56
2100.0,53.73
2095.0,53.94
2090.0,53.39
2085.0,53.37
2080.0,53.38
2075.0,53.38
2070.0,53.62
2065.0,53.46
2060.0,53.23
2055.0,53.43
2050.0,53.39
2045.0,53.37
2040.0,53.09
2035.0,53.19
2030.0,53.19
2025.0,52.92
2020.0,52.96
2015.0,52.88
2010.0,52.69
2005.0,52.75
2000.0,52.68
1995.0,52.68
1990.0,52.59
1985.0,52.44
1980.0,52.48
1975.0,52.57
1970.0,52.43
1965.0,52.49
1960.0,52.51
1955.0,52.37
1950.0,52.44
1945.0,52.54
1940.0,52.48
