Created as New Dataset,
nm,%R
2500.0,46.61
2495.0,48.68
2490.0,47.06
2485.0,50.02
2480.0,48.17
2475.0,48.64
2470.0,48.15
2465.0,48.40
2460.0,46.37
2455.0,48.50
2450.0,49.30
2445.0,47.49
2440.0,47.27
2435.0,48.84
2430.0,48.08
2425.0,46.47
2420.0,47.51
2415.0,47.82
2410.0,50.01
2405.0,48.62
2400.0,47.65
2395.0,47.78
2390.0,47.18
2385.0,48.53
2380.0,49.67
2375.0,47.70
2370.0,48.05
2365.0,48.91
2360.0,47.82
2355.0,49.05
2350.0,48.90
2345.0,48.02
2340.0,48.01
2335.0,48.13
2330.0,48.42
2325.0,49.28
2320.0,47.63
2315.0,48.35
2310.0,49.00
2305.0,47.75
2300.0,47.70
2295.0,46.81
2290.0,48.70
2285.0,48.28
2280.0,47.25
2275.0,47.52
2270.0,47.83
2265.0,46.93
2260.0,47.47
2255.0,47.10
2250.0,46.97
2245.0,47.23
2240.0,46.95
2235.0,46.77
2230.0,46.64
2225.0,47.39
2220.0,46.99
2215.0,47.04
2210.0,46.55
2205.0,46.61
2200.0,47.49
2195.0,46.90
2190.0,48.27
2185.0,47.25
2180.0,47.23
2175.0,48.33
2170.0,48.73
2165.0,47.84
2160.0,48.23
2155.0,48.45
2150.0,48.92
2145.0,48.79
2140.0,48.53
2135.0,48.79
2130.0,48.51
2125.0,48.57
2120.0,48.62
2115.0,48.21
2110.0,48.21
2105.0,48.23
2100.0,48.16
2095.0,47.68
2090.0,48.07
2085.0,47.85
2080.0,47.84
2075.0,47.65
2070.0,47.55
2065.0,47.74
2060.0,47.56
2055.0,47.43
2050.0,47.30
2045.0,47.16
2040.0,47.19
2035.0,47.26
2030.0,47.08
2025.0,46.94
2020.0,46.75
2015.0,46.76
2010.0,46.53
2005.0,46.67
2000.0,46.54
1995.0,46.29
1990.0,46.37
1985.0,46.04
1980.0,46.21
1975.0,46.15
1970.0,46.13
1965.0,46.16
1960.0,45.94
1955.0,45.96
1950.0,46.21
1945.0,46.08
1940.0,46.10
1935.0,46.18
1930.0,46.11
1925.0,46.02
1920.0,46.26
1915.0,45.85
1910.0,45.90
1905.0,45.64
1900.0,45.51
1895.0,45.55
1890.0,45.56
1885.0,45.61
1880.0,45.62
1875.0,45.45
1870.0,45.78
1865.0,45.53
1860.0,45.41
1855.0,45.57
1850.0,45.31
1845.0,45.38
1840.0,45.20
1835.0,45.17
1830.0,45.01
1825.0,45.01
1820.0,45.04
1815.0,45.03
1810.0,44.88
1805.0,44.81
1800.0,44.80
1795.0,44.83
