Created as New Dataset,
nm,%T
2500.0,36.75
2495.0,39.40
2490.0,37.75
2485.0,40.58
2480.0,36.30
2475.0,38.28
2470.0,40.83
2465.0,38.24
2460.0,39.36
2455.0,37.87
2450.0,38.76
2445.0,40.99
2440.0,37.77
2435.0,40.11
2430.0,38.66
2425.0,39.34
2420.0,40.28
2415.0,37.88
2410.0,37.82
2405.0,40.28
2400.0,38.36
2395.0,39.90
2390.0,39.04
2385.0,39.35
2380.0,38.82
2375.0,39.64
2370.0,39.02
2365.0,38.64
2360.0,38.18
2355.0,38.69
2350.0,38.04
2345.0,37.33
2340.0,37.63
2335.0,37.54
2330.0,39.59
2325.0,37.72
2320.0,38.46
2315.0,38.04
2310.0,37.76
2305.0,37.89
2300.0,38.15
2295.0,37.75
2290.0,38.14
2285.0,37.33
2280.0,38.78
2275.0,38.23
2270.0,37.80
2265.0,37.12
2260.0,38.55
2255.0,37.99
2250.0,38.22
2245.0,37.10
2240.0,37.35
2235.0,37.27
2230.0,37.74
2225.0,37.53
2220.0,38.05
2215.0,37.36
2210.0,37.68
2205.0,38.12
2200.0,37.65
2195.0,38.00
2190.0,38.08
2185.0,37.70
2180.0,38.11
2175.0,38.77
2170.0,38.73
2165.0,39.17
2160.0,38.19
2155.0,39.15
2150.0,39.26
2145.0,38.84
2140.0,38.79
2135.0,38.60
2130.0,39.39
2125.0,38.99
2120.0,38.73
2115.0,38.51
2110.0,38.53
2105.0,38.91
2100.0,38.53
2095.0,38.77
2090.0,38.89
2085.0,38.86
2080.0,38.25
2075.0,38.68
2070.0,38.35
2065.0,38.53
2060.0,38.51
2055.0,38.55
2050.0,38.56
2045.0,38.40
2040.0,38.35
2035.0,38.28
2030.0,37.98
2025.0,38.05
2020.0,38.17
2015.0,38.11
2010.0,38.02
2005.0,37.86
2000.0,37.92
1995.0,37.73
1990.0,37.85
1985.0,37.81
1980.0,37.54
1975.0,37.80
1970.0,37.67
1965.0,37.72
1960.0,37.72
1955.0,37.78
1950.0,37.74
1945.0,37.98
1940.0,38.12
1935.0,38.06
1930.0,37.86
1925.0,38.10
1920.0,38.36
1915.0,38.28
1910.0,38.07
1905.0,38.57
1900.0,38.32
1895.0,38.39
1890.0,38.46
1885.0,38.35
1880.0,38.70
1875.0,38.61
1870.0,38.62
1865.0,38.72
1860.0,38.74
1855.0,38.77
1850.0,38.79
1845.0,38.82
1840.0,38.94
1835.0,38.96
1830.0,38.86
1825.0,38.90
1820.0,38.89
1815.0,38.98
1810.0,39.05
1805.0,38.96
1800.0,39.06
1795.0,39.13
1790.0,39.08
1785.0,39.26
1780.0,39.39
1775.0,39.40
1770.0,39.47
1765.0,39.40
1760.0,39.48
1755.0,39.71
1750.0,39.65
1745.0,39.74
1740.0,39.88
1735.0,39.94
1730.0,40.02
1725.0,40.04
1720.0,40.21
1715.0,40.22
1710.0,40.19
1705.0,40.36
1700.0,40.33
1695.0,40.43
1690.0,40.45
1685.0,40.44
1680.0,40.59
1675.0,40.61
1670.0,40.63
1665.0,40.87
1660.0,40.81
1655.0,40.85
1650.0,40.96
1645.0,41.03
1640.0,41.03
1635.0,41.11
1630.0,41.17
1625.0,41.31
1620.0,41.36
1615.0,41.41
1610.0,41.48
1605.0,41.58
1600.0,41.69
1595.0,41.71
1590.0,41.76
1585.0,41.86
1580.0,42.01
1575.0,42.09
1570.0,42.20
1565.0,42.21
1560.0,42.38
1555.0,42.42
1550.0,42.58
1545.0,42.61
1540.0,42.74
1535.0,42.80
1530.0,42.91
1525.0,43.01
1520.0,43.09
1515.0,43.22
1510.0,43.36
1505.0,43.57
1500.0,43.66
1495.0,43.69
1490.0,43.76
1485.0,43.84
1480.0,43.91
