Created as New Dataset,
nm,%T
2500.0,42.90
2495.0,40.21
2490.0,40.94
2485.0,41.29
2480.0,40.60
2475.0,41.70
2470.0,41.80
2465.0,41.20
2460.0,43.42
2455.0,41.31
2450.0,39.69
2445.0,41.95
2440.0,41.20
2435.0,42.26
2430.0,42.52
2425.0,42.33
2420.0,40.56
2415.0,42.78
2410.0,41.39
2405.0,41.60
2400.0,39.52
2395.0,40.47
2390.0,40.51
2385.0,40.61
2380.0,41.52
2375.0,42.17
2370.0,40.24
2365.0,41.52
2360.0,41.66
2355.0,41.43
2350.0,40.69
2345.0,41.41
2340.0,40.41
2335.0,42.08
2330.0,39.91
2325.0,41.72
2320.0,40.87
2315.0,40.73
2310.0,40.73
2305.0,39.73
2300.0,40.25
2295.0,40.66
2290.0,41.12
2285.0,40.59
2280.0,40.16
2275.0,40.94
2270.0,40.81
2265.0,40.18
2260.0,40.37
2255.0,40.80
2250.0,39.90
2245.0,40.07
2240.0,40.32
2235.0,40.13
2230.0,40.17
2225.0,40.68
2220.0,40.24
2215.0,40.48
2210.0,40.26
2205.0,40.67
2200.0,40.43
2195.0,40.79
2190.0,40.73
2185.0,40.55
2180.0,41.06
2175.0,41.11
2170.0,41.36
2165.0,41.48
2160.0,41.81
2155.0,41.34
2150.0,41.30
2145.0,42.25
2140.0,41.82
2135.0,42.02
2130.0,41.59
2125.0,41.63
2120.0,41.41
2115.0,41.17
2110.0,41.18
2105.0,41.52
2100.0,41.51
2095.0,41.00
2090.0,41.11
2085.0,41.33
2080.0,40.93
2075.0,40.76
2070.0,41.02
2065.0,41.05
2060.0,41.07
2055.0,40.79
2050.0,41.14
2045.0,40.79
2040.0,40.98
2035.0,40.82
2030.0,40.92
2025.0,40.56
2020.0,40.55
2015.0,40.41
2010.0,40.55
2005.0,40.50
2000.0,40.41
1995.0,40.20
1990.0,40.30
1985.0,40.18
1980.0,40.21
1975.0,40.30
1970.0,40.18
1965.0,40.32
1960.0,40.27
1955.0,40.51
1950.0,40.27
1945.0,40.41
1940.0,40.48
1935.0,40.48
1930.0,40.60
1925.0,40.57
1920.0,40.77
1915.0,40.62
1910.0,40.58
1905.0,40.62
1900.0,40.80
1895.0,40.91
1890.0,40.78
1885.0,40.77
1880.0,40.98
1875.0,41.17
1870.0,41.22
1865.0,41.15
1860.0,41.26
1855.0,41.25
1850.0,41.19
1845.0,41.21
1840.0,41.29
1835.0,41.19
1830.0,41.33
1825.0,41.34
1820.0,41.41
1815.0,41.40
1810.0,41.34
1805.0,41.31
1800.0,41.42
1795.0,41.50
1790.0,41.58
1785.0,41.66
1780.0,41.58
1775.0,41.76
1770.0,41.83
1765.0,41.89
1760.0,41.94
1755.0,42.05
1750.0,42.05
1745.0,42.12
1740.0,42.16
1735.0,42.38
1730.0,42.48
1725.0,42.36
1720.0,42.45
1715.0,42.47
1710.0,42.53
1705.0,42.62
1700.0,42.66
1695.0,42.76
1690.0,42.71
1685.0,42.80
1680.0,42.78
1675.0,42.94
1670.0,42.88
1665.0,43.01
1660.0,43.04
1655.0,43.17
1650.0,43.17
1645.0,43.20
1640.0,43.28
1635.0,43.36
1630.0,43.37
1625.0,43.52
1620.0,43.55
1615.0,43.65
1610.0,43.68
1605.0,43.76
1600.0,43.78
1595.0,43.84
1590.0,44.02
1585.0,44.10
1580.0,44.14
1575.0,44.19
1570.0,44.32
1565.0,44.36
1560.0,44.51
1555.0,44.53
1550.0,44.62
1545.0,44.74
1540.0,44.78
1535.0,44.90
1530.0,45.01
1525.0,45.06
1520.0,45.11
1515.0,45.26
1510.0,45.36
1505.0,45.50
1500.0,45.66
1495.0,45.74
1490.0,45.78
1485.0,45.88
1480.0,45.92
1475.0,46.06
1470.0,46.15
1465.0,46.27
1460.0,46.35
1455.0,46.50
1450.0,46.64
1445.0,46.67
1440.0,46.83
1435.0,46.99
1430.0,47.04
1425.0,47.16
1420.0,47.32
1415.0,47.47
1410.0,47.55
1405.0,47.79
1400.0,47.90
1395.0,48.06
1390.0,48.21
1385.0,48.30
1380.0,48.50
1375.0,48.58
1370.0,48.70
1365.0,48.84
1360.0,48.96
1355.0,49.01
1350.0,49.12
1345.0,49.23
1340.0,49.46
1335.0,49.57
1330.0,49.76
1325.0,49.82
1320.0,49.95
1315.0,50.06
1310.0,50.13
1305.0,50.34
1300.0,50.46
1295.0,50.62
1290.0,50.75
1285.0,50.88
1280.0,51.00
1275.0,51.14
1270.0,51.24
1265.0,51.40
1260.0,51.51
1255.0,51.62
1250.0,51.85
1245.0,51.99
1240.0,52.10
1235.0,52.19
1230.0,52.28
1225.0,52.40
1220.0,52.61
1215.0,52.74
1210.0,52.89
1205.0,53.00
1200.0,53.08
1195.0,53.19
1190.0,53.34
1185.0,53.51
1180.0,53.63
1175.0,53.70
1170.0,53.86
1165.0,53.96
1160.0,54.07
1155.0,54.22
1150.0,54.35
1145.0,54.45
1140.0,54.56
1135.0,54.63
1130.0,54.74
1125.0,54.89
1120.0,54.92
1115.0,55.04
1110.0,55.08
1105.0,55.21
1100.0,55.30
1095.0,55.41
1090.0,55.48
1085.0,55.55
1080.0,55.57
1075.0,55.62
1070.0,55.69
1065.0,55.78
1060.0,55.86
1055.0,55.85
1050.0,55.90
1045.0,55.94
1040.0,56.01
1035.0,56.04
1030.0,55.99
1025.0,56.06
1020.0,56.08
1015.0,56.08
1010.0,56.04
1005.0,56.08
1000.0,56.03
995.0,56.04
990.0,55.99
985.0,55.99
980.0,55.94
975.0,55.93
970.0,55.86
965.0,55.78
960.0,55.75
955.0,55.75
950.0,55.71
945.0,55.65
940.0,55.60
935.0,55.52
930.0,55.45
925.0,55.44
920.0,55.29
915.0,55.17
910.0,55.13
905.0,55.02
900.0,54.95
895.0,54.94
890.0,54.83
885.0,54.62
880.0,54.52
875.0,54.40
870.0,54.45
865.0,54.29
860.0,53.82
855.0,53.20
850.0,52.95
845.0,52.55
840.0,52.52
835.0,52.49
830.0,52.31
825.0,51.73
820.0,51.85
815.0,51.55
810.0,51.54
805.0,51.18
800.0,51.17
795.0,50.86
790.0,50.66
785.0,50.43
780.0,50.36
775.0,50.16
770.0,50.08
765.0,49.75
760.0,49.76
755.0,49.50
750.0,49.38
745.0,49.17
740.0,49.06
735.0,48.98
730.0,48.94
725.0,48.66
720.0,48.55
715.0,48.52
710.0,48.29
705.0,48.21
700.0,48.23
695.0,48.04
690.0,48.03
685.0,47.91
680.0,47.80
675.0,47.79
670.0,47.75
665.0,47.68
660.0,47.57
655.0,47.70
650.0,47.62
645.0,47.64
640.0,47.61
635.0,47.64
630.0,47.70
625.0,47.64
620.0,47.66
615.0,47.66
610.0,47.69
605.0,47.78
600.0,47.80
595.0,47.85
590.0,47.91
585.0,47.94
580.0,48.00
575.0,48.01
570.0,48.07
565.0,48.15
560.0,48.23
555.0,48.29
550.0,48.31
545.0,48.36
540.0,48.44
535.0,48.45
530.0,48.49
525.0,48.49
520.0,48.52
