Created as New Dataset,
nm,%R
2500.0,44.78
2495.0,48.02
2490.0,45.61
2485.0,45.43
2480.0,46.82
2475.0,48.00
2470.0,46.57
2465.0,47.66
2460.0,43.89
2455.0,48.88
2450.0,47.26
2445.0,46.23
2440.0,46.74
2435.0,47.30
2430.0,45.47
2425.0,45.03
2420.0,45.96
2415.0,45.98
2410.0,47.28
2405.0,47.31
2400.0,45.47
2395.0,46.95
2390.0,45.55
2385.0,45.75
2380.0,47.89
2375.0,47.04
2370.0,47.83
2365.0,46.52
2360.0,45.68
2355.0,46.82
2350.0,47.14
2345.0,45.53
2340.0,46.47
2335.0,45.72
2330.0,46.56
2325.0,46.83
2320.0,47.01
2315.0,46.42
2310.0,46.95
2305.0,45.93
2300.0,45.80
2295.0,46.01
2290.0,46.13
2285.0,46.05
2280.0,45.17
2275.0,46.38
2270.0,46.00
2265.0,45.12
2260.0,46.40
2255.0,45.86
2250.0,44.90
2245.0,45.36
2240.0,45.29
2235.0,44.98
2230.0,44.88
2225.0,45.04
2220.0,45.39
2215.0,45.35
2210.0,44.68
2205.0,45.51
2200.0,45.38
2195.0,45.34
2190.0,46.08
2185.0,45.28
2180.0,46.09
2175.0,46.52
2170.0,46.63
2165.0,46.29
2160.0,46.65
2155.0,46.80
2150.0,47.19
2145.0,46.44
2140.0,46.73
2135.0,47.28
2130.0,46.68
2125.0,47.29
2120.0,46.66
2115.0,46.66
2110.0,46.45
2105.0,46.68
2100.0,46.27
2095.0,46.37
2090.0,46.31
2085.0,45.95
2080.0,46.21
2075.0,45.73
2070.0,46.13
2065.0,45.84
2060.0,45.89
2055.0,45.86
2050.0,45.84
2045.0,45.40
2040.0,45.54
2035.0,45.47
2030.0,45.26
2025.0,45.20
2020.0,45.20
2015.0,44.98
2010.0,44.87
2005.0,44.85
2000.0,44.65
1995.0,44.72
1990.0,44.70
1985.0,44.53
1980.0,44.56
1975.0,44.49
1970.0,44.45
1965.0,44.33
1960.0,44.14
1955.0,44.39
1950.0,44.47
1945.0,44.65
1940.0,44.52
1935.0,44.54
1930.0,44.28
1925.0,44.36
1920.0,44.20
1915.0,44.19
1910.0,44.11
1905.0,44.05
1900.0,43.98
1895.0,43.81
1890.0,44.07
1885.0,43.98
1880.0,44.05
1875.0,43.78
1870.0,43.91
1865.0,43.87
1860.0,43.86
1855.0,43.83
1850.0,43.76
1845.0,43.79
1840.0,43.59
1835.0,43.62
1830.0,43.45
1825.0,43.45
1820.0,43.47
1815.0,43.23
1810.0,43.25
1805.0,43.23
1800.0,43.24
1795.0,43.24
1790.0,43.11
1785.0,43.18
1780.0,43.24
1775.0,43.16
1770.0,43.10
1765.0,42.98
1760.0,43.07
1755.0,43.00
1750.0,42.97
1745.0,42.89
1740.0,42.91
1735.0,42.85
1730.0,42.75
1725.0,42.89
1720.0,42.76
1715.0,42.73
1710.0,42.67
1705.0,42.48
1700.0,42.44
1695.0,42.42
1690.0,42.29
1685.0,42.18
1680.0,42.19
1675.0,42.10
1670.0,41.95
1665.0,41.94
1660.0,41.94
1655.0,41.89
1650.0,41.75
1645.0,41.73
1640.0,41.61
1635.0,41.52
1630.0,41.45
1625.0,41.45
1620.0,41.36
1615.0,41.34
1610.0,41.20
1605.0,41.13
1600.0,41.06
1595.0,40.98
1590.0,40.91
1585.0,40.81
1580.0,40.76
1575.0,40.74
1570.0,40.64
1565.0,40.60
1560.0,40.49
1555.0,40.40
1550.0,40.27
1545.0,40.27
1540.0,40.23
1535.0,40.07
1530.0,40.00
1525.0,39.95
1520.0,39.79
1515.0,39.76
1510.0,39.65
1505.0,39.51
1500.0,39.34
1495.0,39.26
1490.0,39.21
1485.0,39.06
1480.0,38.95
1475.0,38.90
1470.0,38.90
1465.0,38.80
1460.0,38.71
1455.0,38.65
1450.0,38.66
1445.0,38.56
1440.0,38.48
1435.0,38.34
1430.0,38.27
1425.0,38.07
1420.0,37.98
1415.0,37.88
1410.0,37.81
1405.0,37.75
1400.0,37.58
1395.0,37.55
1390.0,37.48
1385.0,37.32
1380.0,37.23
1375.0,37.14
1370.0,37.07
1365.0,37.02
1360.0,36.84
1355.0,36.71
1350.0,36.69
1345.0,36.54
1340.0,36.45
1335.0,36.36
1330.0,36.29
1325.0,36.15
1320.0,36.04
1315.0,35.92
1310.0,35.81
1305.0,35.64
1300.0,35.61
1295.0,35.53
1290.0,35.41
1285.0,35.29
1280.0,35.15
1275.0,35.08
1270.0,34.90
1265.0,34.77
1260.0,34.65
1255.0,34.63
1250.0,34.54
1245.0,34.42
1240.0,34.28
1235.0,34.18
1230.0,34.05
1225.0,33.96
1220.0,33.79
1215.0,33.73
1210.0,33.66
1205.0,33.57
1200.0,33.47
1195.0,33.35
1190.0,33.22
1185.0,33.12
1180.0,33.05
1175.0,32.94
1170.0,32.88
1165.0,32.78
1160.0,32.68
1155.0,32.59
1150.0,32.50
1145.0,32.41
1140.0,32.39
1135.0,32.24
1130.0,32.16
1125.0,32.10
1120.0,32.05
1115.0,31.90
1110.0,31.86
1105.0,31.80
1100.0,31.72
1095.0,31.71
1090.0,31.62
1085.0,31.55
1080.0,31.58
1075.0,31.49
1070.0,31.45
1065.0,31.40
1060.0,31.32
1055.0,31.29
1050.0,31.29
1045.0,31.27
1040.0,31.25
1035.0,31.24
1030.0,31.22
1025.0,31.22
1020.0,31.19
1015.0,31.19
1010.0,31.20
1005.0,31.19
1000.0,31.15
995.0,31.22
990.0,31.23
985.0,31.23
980.0,31.25
975.0,31.42
970.0,31.47
965.0,31.57
960.0,31.60
955.0,31.66
950.0,31.67
945.0,31.75
940.0,31.79
935.0,31.82
930.0,32.04
925.0,32.03
920.0,32.14
915.0,32.07
910.0,32.28
905.0,32.34
900.0,32.50
895.0,32.66
890.0,32.63
885.0,32.81
880.0,32.93
875.0,33.15
870.0,33.45
865.0,33.49
860.0,33.81
855.0,33.20
850.0,30.58
845.0,31.38
840.0,32.47
835.0,32.88
830.0,33.36
825.0,33.83
820.0,33.89
815.0,34.08
810.0,34.08
805.0,34.46
800.0,34.48
795.0,34.71
790.0,34.83
785.0,34.99
780.0,34.95
775.0,35.09
770.0,35.28
765.0,35.47
760.0,35.54
755.0,35.59
750.0,35.68
745.0,35.78
740.0,36.01
735.0,36.00
730.0,36.03
725.0,36.20
720.0,36.30
715.0,36.33
710.0,36.39
705.0,36.50
700.0,36.47
695.0,36.60
690.0,36.58
685.0,36.66
680.0,36.69
675.0,36.73
670.0,36.80
665.0,36.82
660.0,36.79
655.0,36.92
650.0,36.92
645.0,36.93
640.0,36.94
635.0,36.96
630.0,37.00
625.0,36.96
620.0,36.92
615.0,36.97
610.0,36.95
605.0,36.89
600.0,36.90
595.0,36.90
590.0,36.90
585.0,36.89
580.0,36.90
575.0,36.90
570.0,36.93
565.0,36.95
560.0,36.99
555.0,37.02
550.0,37.06
545.0,37.10
540.0,37.19
535.0,37.25
530.0,37.32
525.0,37.39
520.0,37.47
515.0,37.59
510.0,37.70
505.0,37.84
500.0,37.98
495.0,38.16
490.0,38.31
485.0,38.52
480.0,38.75
475.0,38.92
470.0,39.13
465.0,39.38
460.0,39.57
455.0,39.79
450.0,40.06
445.0,40.29
440.0,40.63
435.0,40.92
430.0,41.27
425.0,41.67
420.0,41.97
415.0,42.39
410.0,42.71
405.0,43.12
400.0,43.59
395.0,44.21
390.0,44.85
385.0,45.52
380.0,46.27
375.0,47.13
370.0,48.10
365.0,48.92
360.0,50.04
355.0,51.31
350.0,52.44
345.0,53.55
340.0,54.36
335.0,55.89
330.0,57.20
325.0,59.04
320.0,61.15
315.0,62.48
310.0,63.64
305.0,65.35
300.0,66.75
295.0,69.88
290.0,71.27
285.0,73.12
280.0,74.29
275.0,75.88
270.0,77.53
265.0,79.02
260.0,79.21
255.0,81.09
250.0,88.32
245.0,94.41
240.0,88.37
235.0,88.37
230.0,88.37
225.0,88.37
220.0,88.37
215.0,88.37
210.0,88.37
205.0,88.37
200.0,88.37
