Created as New Dataset,
nm,%R
2500.0,43.03
2495.0,44.75
2490.0,44.30
2485.0,43.08
2480.0,46.68
2475.0,44.16
2470.0,44.69
2465.0,45.91
2460.0,45.82
2455.0,46.62
2450.0,43.39
2445.0,44.33
2440.0,45.75
2435.0,46.48
2430.0,45.10
2425.0,44.92
2420.0,45.16
2415.0,46.27
2410.0,44.72
2405.0,46.31
2400.0,45.35
2395.0,46.94
2390.0,46.66
2385.0,44.98
2380.0,45.31
2375.0,46.43
2370.0,46.09
2365.0,46.67
2360.0,45.31
2355.0,44.70
2350.0,45.62
2345.0,44.91
2340.0,46.70
2335.0,45.58
2330.0,44.74
2325.0,45.77
2320.0,44.95
2315.0,44.99
2310.0,44.66
2305.0,44.94
2300.0,44.88
2295.0,45.05
2290.0,44.98
2285.0,45.38
2280.0,45.04
2275.0,44.40
2270.0,44.30
2265.0,44.76
2260.0,45.11
2255.0,44.63
2250.0,44.61
2245.0,44.03
2240.0,44.51
2235.0,43.67
2230.0,44.42
2225.0,44.36
2220.0,44.32
2215.0,44.76
2210.0,44.33
2205.0,44.63
2200.0,44.60
2195.0,44.68
2190.0,44.58
2185.0,45.10
2180.0,44.99
2175.0,45.55
2170.0,45.51
2165.0,46.00
2160.0,45.47
2155.0,45.66
2150.0,45.88
2145.0,46.12
2140.0,46.66
2135.0,45.64
2130.0,46.09
2125.0,46.41
2120.0,45.73
2115.0,45.70
2110.0,45.57
2105.0,46.21
2100.0,45.59
2095.0,45.35
2090.0,45.47
2085.0,45.38
2080.0,45.10
2075.0,45.30
2070.0,45.29
2065.0,45.12
2060.0,45.06
2055.0,45.15
2050.0,45.05
2045.0,44.95
2040.0,44.77
2035.0,44.65
2030.0,44.37
2025.0,44.50
2020.0,44.42
2015.0,44.20
2010.0,44.20
2005.0,44.32
2000.0,44.06
1995.0,43.94
1990.0,43.98
1985.0,43.93
1980.0,43.80
1975.0,43.70
1970.0,43.81
1965.0,43.92
1960.0,43.82
1955.0,43.74
1950.0,43.87
1945.0,43.80
1940.0,43.79
1935.0,43.88
1930.0,43.64
1925.0,44.07
1920.0,43.67
1915.0,43.75
1910.0,43.41
1905.0,43.60
1900.0,43.40
1895.0,43.67
1890.0,43.47
1885.0,43.42
1880.0,43.58
1875.0,43.42
1870.0,43.36
1865.0,43.53
1860.0,43.35
1855.0,43.18
1850.0,43.23
1845.0,43.21
1840.0,43.21
1835.0,43.10
1830.0,43.01
1825.0,43.05
1820.0,42.97
1815.0,42.87
1810.0,42.90
1805.0,42.86
1800.0,42.73
1795.0,42.74
1790.0,42.73
1785.0,42.79
1780.0,42.80
1775.0,42.77
1770.0,42.71
1765.0,42.74
1760.0,42.68
1755.0,42.60
1750.0,42.63
1745.0,42.60
1740.0,42.54
1735.0,42.55
1730.0,42.47
1725.0,42.50
1720.0,42.41
1715.0,42.35
1710.0,42.35
1705.0,42.23
1700.0,42.23
1695.0,42.13
1690.0,42.01
1685.0,41.94
1680.0,41.92
1675.0,41.79
1670.0,41.77
1665.0,41.75
1660.0,41.73
1655.0,41.61
1650.0,41.50
1645.0,41.43
1640.0,41.38
1635.0,41.35
1630.0,41.29
1625.0,41.24
1620.0,41.16
1615.0,41.06
1610.0,41.02
1605.0,41.00
1600.0,40.91
1595.0,40.80
1590.0,40.81
1585.0,40.70
1580.0,40.64
1575.0,40.56
1570.0,40.48
1565.0,40.43
1560.0,40.39
1555.0,40.28
1550.0,40.17
1545.0,40.15
1540.0,40.08
1535.0,40.01
1530.0,39.92
1525.0,39.89
1520.0,39.75
1515.0,39.68
1510.0,39.58
1505.0,39.51
1500.0,39.41
1495.0,39.31
1490.0,39.10
1485.0,39.02
1480.0,39.02
1475.0,38.89
1470.0,38.81
1465.0,38.76
1460.0,38.69
1455.0,38.63
1450.0,38.61
1445.0,38.55
1440.0,38.44
1435.0,38.35
1430.0,38.24
1425.0,38.13
1420.0,38.09
1415.0,37.92
1410.0,37.82
1405.0,37.79
1400.0,37.66
1395.0,37.64
1390.0,37.58
1385.0,37.43
1380.0,37.30
1375.0,37.28
1370.0,37.12
1365.0,37.04
1360.0,37.00
1355.0,36.87
1350.0,36.72
1345.0,36.64
1340.0,36.57
1335.0,36.42
1330.0,36.32
1325.0,36.27
1320.0,36.16
1315.0,36.02
1310.0,35.94
1305.0,35.79
1300.0,35.72
1295.0,35.51
1290.0,35.46
1285.0,35.33
1280.0,35.25
1275.0,35.19
1270.0,35.10
1265.0,35.02
1260.0,34.89
1255.0,34.76
1250.0,34.68
1245.0,34.61
1240.0,34.49
1235.0,34.38
1230.0,34.31
1225.0,34.16
1220.0,34.07
1215.0,34.00
1210.0,33.85
1205.0,33.78
1200.0,33.70
1195.0,33.65
1190.0,33.52
1185.0,33.35
1180.0,33.32
1175.0,33.23
1170.0,33.12
1165.0,33.01
1160.0,33.00
1155.0,32.89
1150.0,32.82
1145.0,32.73
1140.0,32.60
1135.0,32.56
1130.0,32.50
1125.0,32.45
1120.0,32.33
1115.0,32.22
1110.0,32.20
1105.0,32.09
1100.0,32.05
1095.0,32.01
1090.0,32.01
1085.0,31.94
1080.0,31.88
1075.0,31.78
1070.0,31.75
1065.0,31.72
1060.0,31.68
1055.0,31.68
1050.0,31.63
1045.0,31.58
1040.0,31.52
1035.0,31.57
1030.0,31.58
1025.0,31.55
1020.0,31.54
1015.0,31.52
1010.0,31.56
1005.0,31.54
1000.0,31.58
995.0,31.58
990.0,31.59
985.0,31.61
980.0,31.69
975.0,31.78
970.0,31.90
965.0,31.90
960.0,31.93
955.0,32.00
950.0,32.02
945.0,32.12
940.0,32.09
935.0,32.19
930.0,32.32
925.0,32.27
920.0,32.38
915.0,32.47
910.0,32.54
905.0,32.58
900.0,32.64
895.0,32.79
890.0,32.90
885.0,32.97
880.0,33.08
875.0,33.32
870.0,33.39
865.0,33.38
860.0,33.76
855.0,34.68
850.0,34.62
845.0,34.75
840.0,34.57
835.0,34.33
830.0,34.65
825.0,34.47
820.0,34.33
815.0,34.53
810.0,34.44
805.0,34.41
800.0,34.48
795.0,34.59
790.0,34.53
785.0,34.51
780.0,33.60
775.0,33.62
770.0,33.58
765.0,34.19
760.0,34.07
755.0,34.28
750.0,34.57
745.0,34.54
740.0,34.87
735.0,34.73
730.0,35.09
725.0,35.22
720.0,35.31
715.0,35.44
710.0,35.69
705.0,35.65
700.0,35.80
695.0,35.97
690.0,35.99
685.0,36.25
680.0,36.17
675.0,36.17
670.0,36.24
665.0,36.29
660.0,36.33
655.0,36.38
650.0,36.43
645.0,36.42
640.0,36.47
635.0,36.45
630.0,36.49
625.0,36.50
620.0,36.54
615.0,36.52
610.0,36.51
605.0,36.57
600.0,36.50
595.0,36.53
590.0,36.48
585.0,36.49
580.0,36.54
575.0,36.54
570.0,36.58
565.0,36.61
560.0,36.70
555.0,36.76
550.0,36.74
545.0,36.79
540.0,36.85
535.0,36.92
530.0,36.99
525.0,37.14
520.0,37.23
515.0,37.38
510.0,37.54
505.0,37.75
500.0,37.87
495.0,37.91
490.0,37.96
485.0,38.01
480.0,38.31
475.0,38.62
470.0,38.92
465.0,39.21
460.0,39.48
455.0,39.67
450.0,39.83
445.0,39.97
440.0,40.23
435.0,40.63
430.0,40.96
425.0,41.37
420.0,41.74
415.0,42.17
410.0,42.57
405.0,43.03
400.0,43.55
395.0,44.04
390.0,44.72
385.0,45.42
380.0,46.32
375.0,47.22
370.0,47.56
365.0,47.95
360.0,50.16
355.0,51.55
350.0,53.09
345.0,54.79
340.0,56.17
335.0,56.80
330.0,57.81
325.0,58.57
320.0,60.11
315.0,61.39
310.0,63.50
305.0,64.51
300.0,66.47
295.0,68.67
290.0,70.08
285.0,71.76
280.0,72.32
275.0,71.54
270.0,70.84
265.0,69.89
260.0,68.78
255.0,72.43
250.0,76.04
245.0,75.24
240.0,73.34
235.0,73.34
230.0,73.34
225.0,73.34
220.0,73.34
215.0,73.34
210.0,73.34
205.0,73.34
200.0,73.34
