Created as New Dataset,
nm,%R
2500.0,61.69
2495.0,62.62
2490.0,60.56
2485.0,62.50
2480.0,60.83
2475.0,61.52
2470.0,62.29
2465.0,62.02
2460.0,63.31
2455.0,60.84
2450.0,61.65
2445.0,62.48
2440.0,61.76
2435.0,62.97
2430.0,60.82
2425.0,63.05
2420.0,64.28
2415.0,61.20
2410.0,62.46
2405.0,63.34
2400.0,62.33
2395.0,61.83
2390.0,61.99
2385.0,63.00
2380.0,63.06
2375.0,63.46
2370.0,62.43
2365.0,61.82
2360.0,62.14
2355.0,62.75
2350.0,63.47
2345.0,61.25
2340.0,61.70
2335.0,61.27
2330.0,62.78
2325.0,62.30
2320.0,61.30
2315.0,62.43
2310.0,60.90
2305.0,61.80
2300.0,61.61
2295.0,61.35
2290.0,62.05
2285.0,60.76
2280.0,61.30
2275.0,61.62
2270.0,60.69
2265.0,60.62
2260.0,60.88
2255.0,61.11
2250.0,60.31
2245.0,60.58
2240.0,60.18
2235.0,60.02
2230.0,60.47
2225.0,60.50
2220.0,60.68
2215.0,60.01
2210.0,60.34
2205.0,60.33
2200.0,60.47
2195.0,61.20
2190.0,60.94
2185.0,61.12
2180.0,61.56
2175.0,61.63
2170.0,61.72
2165.0,61.66
2160.0,61.83
2155.0,62.51
2150.0,62.40
2145.0,62.46
2140.0,62.13
2135.0,62.39
2130.0,62.70
2125.0,62.40
2120.0,62.09
2115.0,61.89
2110.0,61.97
2105.0,61.49
2100.0,61.84
2095.0,61.62
2090.0,61.24
2085.0,61.67
2080.0,61.09
2075.0,61.21
2070.0,61.20
2065.0,61.07
2060.0,60.85
2055.0,60.90
2050.0,60.81
2045.0,60.72
2040.0,60.61
2035.0,60.60
2030.0,60.26
2025.0,60.21
2020.0,60.04
2015.0,59.93
2010.0,59.83
2005.0,59.69
2000.0,59.59
1995.0,59.43
1990.0,59.36
1985.0,59.21
1980.0,59.23
1975.0,59.09
1970.0,59.01
1965.0,58.91
1960.0,58.84
1955.0,58.93
1950.0,58.93
1945.0,58.92
1940.0,58.87
1935.0,58.86
1930.0,58.68
1925.0,58.63
1920.0,58.73
1915.0,58.83
1910.0,58.50
1905.0,58.62
1900.0,58.73
1895.0,58.80
1890.0,58.38
1885.0,58.39
1880.0,58.36
1875.0,58.35
1870.0,58.41
1865.0,58.40
1860.0,58.22
1855.0,58.20
1850.0,58.19
1845.0,57.98
1840.0,57.94
1835.0,58.01
1830.0,57.95
1825.0,57.84
1820.0,57.75
1815.0,57.76
1810.0,57.64
1805.0,57.63
1800.0,57.56
1795.0,57.55
1790.0,57.35
1785.0,57.51
1780.0,57.51
1775.0,57.47
1770.0,57.43
1765.0,57.35
1760.0,57.25
1755.0,57.34
1750.0,57.24
1745.0,57.13
1740.0,57.17
1735.0,57.21
1730.0,57.16
1725.0,57.04
1720.0,57.00
1715.0,56.97
1710.0,56.81
1705.0,56.83
1700.0,56.74
1695.0,56.61
1690.0,56.52
1685.0,56.35
1680.0,56.40
1675.0,56.24
1670.0,56.15
1665.0,56.19
1660.0,56.00
1655.0,55.96
1650.0,55.87
1645.0,55.75
1640.0,55.70
1635.0,55.58
1630.0,55.55
1625.0,55.48
1620.0,55.38
1615.0,55.27
1610.0,55.26
1605.0,55.10
1600.0,55.05
1595.0,54.94
1590.0,54.88
1585.0,54.74
1580.0,54.68
1575.0,54.62
1570.0,54.53
1565.0,54.47
1560.0,54.34
1555.0,54.29
1550.0,54.18
1545.0,54.07
1540.0,53.97
1535.0,53.90
1530.0,53.78
1525.0,53.68
1520.0,53.56
1515.0,53.49
1510.0,53.35
1505.0,53.25
1500.0,53.12
1495.0,52.99
1490.0,52.86
1485.0,52.78
1480.0,52.64
1475.0,52.56
1470.0,52.46
1465.0,52.53
1460.0,52.62
1455.0,52.61
1450.0,52.60
1445.0,52.50
1440.0,52.33
1435.0,52.29
1430.0,52.12
1425.0,51.98
1420.0,51.88
1415.0,51.73
1410.0,51.59
1405.0,51.50
1400.0,51.41
1395.0,51.28
1390.0,51.22
1385.0,51.04
1380.0,50.97
1375.0,50.82
1370.0,50.63
1365.0,50.49
1360.0,50.44
1355.0,50.38
1350.0,50.33
1345.0,50.30
1340.0,50.22
1335.0,50.15
1330.0,50.16
1325.0,50.02
1320.0,49.82
1315.0,49.64
1310.0,49.55
1305.0,49.46
1300.0,49.32
1295.0,49.20
1290.0,49.01
1285.0,48.89
1280.0,48.76
1275.0,48.67
1270.0,48.49
1265.0,48.40
1260.0,48.27
1255.0,48.12
1250.0,48.02
1245.0,47.77
1240.0,47.67
1235.0,47.50
1230.0,47.39
1225.0,47.25
1220.0,47.16
1215.0,47.08
1210.0,46.94
1205.0,46.80
1200.0,46.66
1195.0,46.58
1190.0,46.37
1185.0,46.21
1180.0,46.07
1175.0,45.95
1170.0,45.86
1165.0,45.68
1160.0,45.56
1155.0,45.48
1150.0,45.34
1145.0,45.26
1140.0,45.16
1135.0,44.98
1130.0,44.84
1125.0,44.81
1120.0,44.67
1115.0,44.58
1110.0,44.48
1105.0,44.42
1100.0,44.34
1095.0,44.25
1090.0,44.15
1085.0,44.09
1080.0,43.99
1075.0,43.91
1070.0,43.76
1065.0,43.70
1060.0,43.69
1055.0,43.68
1050.0,43.53
1045.0,43.53
1040.0,43.48
1035.0,43.43
1030.0,43.37
1025.0,43.39
1020.0,43.30
1015.0,43.30
1010.0,43.27
1005.0,43.25
1000.0,43.18
995.0,43.14
990.0,43.09
985.0,43.02
980.0,43.04
975.0,43.12
970.0,43.27
965.0,43.30
960.0,43.44
955.0,43.52
950.0,43.59
945.0,43.80
940.0,43.82
935.0,43.91
930.0,44.11
925.0,44.17
920.0,44.33
915.0,44.48
910.0,44.53
905.0,44.76
900.0,44.90
895.0,45.08
890.0,45.14
885.0,45.56
880.0,45.74
875.0,45.76
870.0,46.06
865.0,46.32
860.0,46.43
855.0,47.05
850.0,44.17
845.0,45.50
840.0,46.18
835.0,47.36
830.0,47.80
825.0,48.50
820.0,48.59
815.0,48.86
810.0,48.82
805.0,49.23
800.0,49.36
795.0,49.67
790.0,49.97
785.0,49.80
780.0,49.99
775.0,50.43
770.0,50.56
765.0,50.70
760.0,50.75
755.0,50.89
750.0,51.12
745.0,51.30
740.0,51.23
735.0,51.52
730.0,51.75
725.0,51.84
720.0,52.03
715.0,52.16
710.0,52.24
705.0,52.23
700.0,52.38
695.0,52.40
690.0,52.60
685.0,52.58
680.0,52.65
675.0,52.73
670.0,52.77
665.0,52.80
660.0,52.95
655.0,53.00
650.0,52.97
645.0,52.99
640.0,52.97
635.0,53.05
630.0,53.05
625.0,53.00
620.0,53.02
615.0,53.03
610.0,53.03
605.0,53.00
600.0,52.97
595.0,52.97
590.0,53.03
585.0,52.99
580.0,52.98
575.0,52.96
570.0,53.00
565.0,53.04
560.0,53.04
555.0,53.14
550.0,53.16
545.0,53.24
540.0,53.27
535.0,53.37
530.0,53.40
525.0,53.53
520.0,53.61
515.0,53.71
510.0,53.84
505.0,53.98
500.0,54.19
495.0,54.40
490.0,54.60
485.0,54.80
480.0,55.07
475.0,55.21
470.0,55.45
465.0,55.83
460.0,56.04
455.0,56.26
450.0,56.58
445.0,56.84
440.0,57.23
435.0,57.57
430.0,57.90
425.0,58.25
420.0,58.73
415.0,59.19
410.0,59.51
405.0,60.00
400.0,60.50
