Created as New Dataset,
nm,%R
2500.0,52.34
2495.0,51.47
2490.0,51.44
2485.0,53.26
2480.0,51.23
2475.0,51.28
2470.0,50.68
2465.0,51.97
2460.0,51.01
2455.0,51.93
2450.0,53.84
2445.0,50.78
2440.0,53.64
2435.0,52.41
2430.0,52.62
2425.0,53.25
2420.0,54.66
2415.0,54.24
2410.0,51.65
2405.0,52.52
2400.0,52.57
2395.0,51.71
2390.0,53.03
2385.0,52.05
2380.0,52.80
2375.0,52.81
2370.0,53.13
2365.0,52.27
2360.0,53.04
2355.0,52.89
2350.0,51.67
2345.0,52.65
2340.0,52.55
2335.0,52.22
2330.0,52.90
2325.0,52.27
2320.0,51.83
2315.0,52.54
2310.0,51.79
2305.0,52.29
2300.0,52.19
2295.0,51.59
2290.0,52.12
2285.0,51.94
2280.0,51.43
2275.0,52.08
2270.0,51.61
2265.0,51.22
2260.0,51.26
2255.0,50.71
2250.0,51.03
2245.0,50.97
2240.0,50.62
2235.0,50.61
2230.0,50.62
2225.0,51.04
2220.0,51.10
2215.0,51.06
2210.0,50.57
2205.0,51.50
2200.0,51.56
2195.0,51.40
2190.0,51.45
2185.0,51.94
2180.0,52.03
2175.0,52.20
2170.0,52.05
2165.0,52.55
2160.0,52.91
2155.0,53.39
2150.0,53.47
2145.0,52.91
2140.0,53.37
2135.0,52.87
2130.0,53.12
2125.0,52.94
2120.0,53.03
2115.0,52.77
2110.0,52.70
2105.0,52.54
2100.0,52.60
2095.0,52.42
2090.0,52.38
2085.0,52.41
2080.0,52.24
2075.0,51.95
2070.0,52.10
2065.0,52.17
2060.0,52.15
2055.0,51.90
2050.0,51.73
2045.0,52.01
2040.0,51.69
2035.0,51.61
2030.0,51.13
2025.0,51.32
2020.0,51.15
2015.0,51.24
2010.0,51.21
2005.0,50.96
2000.0,50.80
1995.0,50.97
1990.0,50.68
1985.0,50.64
1980.0,50.66
1975.0,50.66
1970.0,50.58
1965.0,50.55
1960.0,50.41
1955.0,50.59
1950.0,50.57
1945.0,50.38
1940.0,50.40
1935.0,50.37
1930.0,50.53
1925.0,50.32
1920.0,50.51
1915.0,50.26
1910.0,49.91
1905.0,49.98
1900.0,50.18
1895.0,50.15
1890.0,50.15
1885.0,50.03
1880.0,49.98
1875.0,50.08
1870.0,49.91
1865.0,49.90
1860.0,49.70
1855.0,49.71
1850.0,49.73
1845.0,49.72
1840.0,49.63
1835.0,49.64
1830.0,49.50
1825.0,49.56
1820.0,49.30
1815.0,49.32
1810.0,49.27
1805.0,49.25
1800.0,49.28
1795.0,49.29
1790.0,49.11
1785.0,49.32
1780.0,49.14
1775.0,49.20
1770.0,49.19
1765.0,49.06
1760.0,49.06
1755.0,48.86
1750.0,49.06
1745.0,48.94
1740.0,48.96
1735.0,48.83
1730.0,48.94
1725.0,48.92
1720.0,48.78
1715.0,48.72
1710.0,48.63
1705.0,48.58
1700.0,48.45
1695.0,48.41
1690.0,48.27
1685.0,48.28
1680.0,48.16
1675.0,48.02
1670.0,47.94
1665.0,47.96
1660.0,47.84
1655.0,47.84
1650.0,47.68
1645.0,47.62
1640.0,47.51
1635.0,47.48
1630.0,47.45
1625.0,47.36
1620.0,47.27
1615.0,47.23
1610.0,47.09
1605.0,47.03
1600.0,46.92
1595.0,46.91
1590.0,46.83
1585.0,46.75
1580.0,46.73
1575.0,46.54
1570.0,46.51
1565.0,46.42
1560.0,46.33
1555.0,46.27
1550.0,46.14
1545.0,46.06
