Created as New Dataset,
nm,%T
2500.0,54.18
2495.0,51.54
2490.0,54.12
2485.0,54.24
2480.0,54.12
2475.0,53.08
2470.0,54.29
2465.0,55.02
2460.0,55.11
2455.0,55.24
2450.0,55.79
2445.0,54.09
2440.0,52.67
2435.0,55.20
2430.0,54.29
2425.0,52.12
2420.0,54.11
2415.0,52.76
2410.0,55.91
2405.0,53.41
2400.0,51.84
2395.0,53.17
2390.0,54.55
2385.0,53.44
2380.0,53.21
2375.0,53.93
2370.0,54.77
2365.0,53.12
2360.0,53.65
2355.0,53.03
2350.0,53.36
2345.0,53.07
2340.0,53.08
2335.0,54.24
2330.0,53.23
2325.0,54.53
2320.0,52.75
2315.0,53.29
2310.0,53.70
2305.0,53.29
2300.0,52.98
2295.0,52.02
2290.0,53.81
2285.0,52.46
2280.0,52.22
2275.0,53.23
2270.0,52.67
2265.0,52.70
2260.0,52.48
2255.0,52.12
2250.0,51.73
2245.0,52.63
2240.0,52.37
2235.0,51.99
2230.0,51.33
2225.0,51.87
2220.0,51.67
2215.0,52.03
2210.0,52.03
2205.0,52.61
2200.0,52.51
2195.0,52.50
2190.0,53.22
2185.0,52.45
2180.0,52.81
2175.0,53.68
2170.0,53.84
2165.0,53.32
2160.0,53.68
2155.0,53.83
2150.0,53.97
2145.0,53.82
2140.0,53.77
2135.0,54.31
2130.0,53.79
2125.0,54.09
2120.0,53.99
2115.0,53.85
2110.0,53.36
2105.0,53.34
2100.0,53.13
2095.0,53.41
2090.0,53.32
2085.0,53.17
2080.0,53.18
2075.0,52.84
2070.0,53.14
2065.0,53.21
2060.0,52.92
2055.0,53.01
2050.0,52.89
2045.0,52.73
2040.0,52.86
2035.0,52.88
2030.0,52.78
2025.0,52.56
2020.0,52.60
2015.0,52.62
2010.0,52.44
2005.0,52.43
2000.0,52.29
1995.0,52.28
1990.0,52.22
1985.0,52.19
1980.0,52.15
1975.0,52.13
1970.0,52.12
1965.0,52.17
1960.0,52.16
1955.0,52.26
1950.0,52.21
1945.0,52.40
1940.0,52.41
1935.0,52.59
1930.0,52.60
1925.0,52.64
1920.0,52.62
1915.0,52.46
1910.0,52.48
1905.0,52.56
1900.0,52.51
1895.0,52.64
1890.0,52.75
1885.0,52.78
1880.0,52.74
1875.0,52.84
1870.0,53.03
1865.0,53.00
1860.0,53.10
1855.0,53.10
1850.0,52.99
1845.0,53.11
1840.0,53.08
1835.0,53.20
1830.0,53.07
1825.0,53.20
1820.0,53.11
1815.0,53.07
1810.0,53.17
1805.0,53.17
1800.0,53.18
1795.0,53.23
1790.0,53.35
1785.0,53.43
1780.0,53.48
1775.0,53.58
1770.0,53.57
1765.0,53.62
1760.0,53.70
1755.0,53.80
1750.0,53.93
1745.0,53.91
1740.0,53.95
1735.0,54.00
1730.0,54.11
1725.0,54.19
1720.0,54.23
1715.0,54.25
1710.0,54.40
1705.0,54.37
1700.0,54.40
1695.0,54.43
1690.0,54.52
1685.0,54.53
1680.0,54.56
1675.0,54.58
1670.0,54.61
1665.0,54.80
1660.0,54.84
1655.0,54.92
1650.0,54.89
1645.0,55.02
1640.0,55.01
1635.0,55.11
1630.0,55.15
1625.0,55.22
1620.0,55.28
1615.0,55.35
1610.0,55.37
1605.0,55.48
1600.0,55.60
1595.0,55.63
1590.0,55.68
1585.0,55.74
1580.0,55.84
1575.0,55.95
1570.0,55.97
1565.0,56.10
1560.0,56.18
1555.0,56.25
1550.0,56.29
1545.0,56.42
1540.0,56.52
1535.0,56.56
1530.0,56.64
1525.0,56.75
1520.0,56.80
1515.0,56.92
1510.0,57.04
1505.0,57.14
1500.0,57.21
1495.0,57.33
1490.0,57.44
1485.0,57.46
1480.0,57.53
1475.0,57.63
1470.0,57.80
1465.0,57.85
1460.0,57.94
1455.0,58.04
1450.0,58.18
1445.0,58.24
1440.0,58.41
1435.0,58.48
1430.0,58.59
1425.0,58.70
1420.0,58.78
1415.0,58.95
1410.0,59.10
1405.0,59.25
1400.0,59.35
1395.0,59.43
1390.0,59.57
1385.0,59.63
1380.0,59.80
1375.0,59.87
1370.0,60.05
1365.0,60.19
1360.0,60.29
1355.0,60.36
1350.0,60.49
1345.0,60.54
1340.0,60.69
1335.0,60.80
1330.0,60.94
1325.0,61.04
1320.0,61.17
1315.0,61.23
1310.0,61.41
1305.0,61.47
1300.0,61.59
1295.0,61.74
1290.0,61.82
1285.0,61.94
1280.0,62.07
1275.0,62.19
1270.0,62.33
1265.0,62.46
1260.0,62.51
1255.0,62.68
1250.0,62.80
1245.0,62.90
1240.0,63.03
1235.0,63.14
1230.0,63.21
1225.0,63.38
1220.0,63.45
1215.0,63.54
1210.0,63.69
1205.0,63.81
1200.0,63.89
1195.0,63.96
1190.0,64.08
1185.0,64.19
1180.0,64.28
1175.0,64.41
1170.0,64.54
1165.0,64.56
1160.0,64.70
1155.0,64.81
1150.0,64.89
1145.0,64.99
1140.0,65.08
1135.0,65.14
1130.0,65.20
1125.0,65.29
1120.0,65.41
1115.0,65.42
1110.0,65.47
1105.0,65.55
1100.0,65.69
1095.0,65.69
1090.0,65.75
1085.0,65.80
1080.0,65.84
1075.0,65.90
1070.0,65.93
1065.0,65.94
1060.0,65.98
1055.0,66.02
1050.0,66.06
1045.0,66.08
1040.0,66.11
1035.0,66.09
1030.0,66.14
1025.0,66.10
1020.0,66.14
1015.0,66.11
1010.0,66.13
1005.0,66.10
1000.0,66.02
995.0,65.99
990.0,65.92
985.0,65.93
980.0,65.93
975.0,65.91
970.0,65.82
965.0,65.77
960.0,65.73
955.0,65.65
950.0,65.62
945.0,65.57
940.0,65.49
935.0,65.50
930.0,65.41
925.0,65.29
920.0,65.23
915.0,65.19
910.0,65.14
905.0,65.02
900.0,64.87
895.0,64.88
890.0,64.55
885.0,64.71
880.0,64.59
875.0,64.48
870.0,64.55
865.0,64.20
860.0,64.33
855.0,63.19
850.0,63.06
845.0,62.90
840.0,62.82
835.0,62.32
830.0,62.14
825.0,62.44
820.0,62.14
815.0,62.00
810.0,61.83
805.0,61.65
800.0,61.41
795.0,61.09
790.0,61.23
785.0,61.04
780.0,60.86
775.0,60.49
770.0,60.45
765.0,60.40
760.0,60.33
755.0,60.24
750.0,59.98
745.0,59.79
740.0,59.87
735.0,59.85
730.0,59.59
725.0,59.66
720.0,59.39
715.0,59.31
710.0,59.30
705.0,59.14
700.0,59.03
695.0,59.12
690.0,58.98
685.0,58.95
680.0,58.96
675.0,58.86
670.0,58.91
665.0,58.96
660.0,58.78
655.0,58.92
650.0,58.86
645.0,58.90
640.0,58.85
635.0,58.99
630.0,59.00
625.0,59.06
620.0,59.06
615.0,59.18
610.0,59.20
605.0,59.20
600.0,59.27
595.0,59.30
590.0,59.35
585.0,59.47
580.0,59.49
575.0,59.63
570.0,59.71
565.0,59.75
560.0,59.79
555.0,59.96
550.0,59.97
545.0,60.06
540.0,60.11
535.0,60.14
530.0,60.20
525.0,60.20
520.0,60.17
515.0,60.18
510.0,60.18
505.0,60.26
500.0,60.32
495.0,60.35
490.0,60.35
485.0,60.41
480.0,60.51
475.0,60.45
470.0,60.47
465.0,60.50
460.0,60.48
455.0,60.50
450.0,60.55
445.0,60.52
440.0,60.66
435.0,60.75
430.0,60.83
425.0,61.00
420.0,61.04
415.0,61.27
410.0,61.34
405.0,61.49
400.0,61.71
395.0,62.07
390.0,62.38
385.0,62.80
380.0,63.43
375.0,63.94
370.0,64.47
365.0,64.90
360.0,65.76
355.0,66.61
350.0,67.10
345.0,67.53
340.0,68.33
335.0,69.32
330.0,70.05
325.0,70.89
320.0,72.06
315.0,72.95
310.0,73.58
305.0,73.58
300.0,74.67
295.0,75.80
290.0,75.97
285.0,75.92
280.0,75.67
275.0,74.74
270.0,75.41
265.0,73.76
260.0,74.05
255.0,77.61
250.0,85.47
245.0,90.90
240.0,93.86
235.0,93.86
230.0,93.86
225.0,93.86
220.0,93.86
215.0,93.86
210.0,93.86
205.0,93.86
200.0,93.86
