Created as New Dataset,
nm,%T
2500.0,53.45
2495.0,53.80
2490.0,53.34
2485.0,55.96
2480.0,54.19
2475.0,53.82
2470.0,53.29
2465.0,54.69
2460.0,52.64
2455.0,54.44
2450.0,54.48
2445.0,53.40
2440.0,55.31
2435.0,53.91
2430.0,55.74
2425.0,54.22
2420.0,55.44
2415.0,55.56
2410.0,54.23
2405.0,54.06
2400.0,53.57
2395.0,53.71
2390.0,55.86
2385.0,54.19
2380.0,54.62
2375.0,55.33
2370.0,53.44
2365.0,54.09
2360.0,54.24
2355.0,54.24
2350.0,54.04
2345.0,54.81
2340.0,53.05
2335.0,54.14
2330.0,54.01
2325.0,53.96
2320.0,53.88
2315.0,54.32
2310.0,53.72
2305.0,52.89
2300.0,53.75
2295.0,53.68
2290.0,53.35
2285.0,53.42
2280.0,53.09
2275.0,53.26
2270.0,52.73
2265.0,53.26
2260.0,52.95
2255.0,53.15
2250.0,53.11
2245.0,52.69
2240.0,52.60
2235.0,52.71
2230.0,52.38
2225.0,52.34
2220.0,52.73
2215.0,52.93
2210.0,52.91
2205.0,53.32
2200.0,53.17
2195.0,53.03
2190.0,53.11
2185.0,53.65
2180.0,53.77
2175.0,54.15
2170.0,54.08
2165.0,54.37
2160.0,54.72
2155.0,54.73
2150.0,54.81
2145.0,54.64
2140.0,54.73
2135.0,54.24
2130.0,54.48
2125.0,54.11
2120.0,54.55
2115.0,54.21
2110.0,54.15
2105.0,54.16
2100.0,53.89
2095.0,53.82
2090.0,53.81
2085.0,53.85
2080.0,54.03
2075.0,53.48
2070.0,53.80
2065.0,53.78
2060.0,53.82
2055.0,53.77
2050.0,53.61
2045.0,53.72
2040.0,53.38
2035.0,53.45
2030.0,53.27
2025.0,53.41
2020.0,53.20
2015.0,53.20
2010.0,53.16
2005.0,52.90
2000.0,52.97
1995.0,52.98
1990.0,52.95
1985.0,52.84
1980.0,52.94
1975.0,52.87
1970.0,52.79
1965.0,52.91
1960.0,52.71
1955.0,52.86
1950.0,52.93
1945.0,52.86
1940.0,53.01
1935.0,53.04
1930.0,53.13
1925.0,53.32
1920.0,53.27
1915.0,53.29
1910.0,53.14
1905.0,53.07
1900.0,53.35
1895.0,53.13
1890.0,53.38
1885.0,53.39
1880.0,53.59
1875.0,53.68
1870.0,53.64
1865.0,53.59
1860.0,53.62
1855.0,53.52
1850.0,53.60
1845.0,53.83
1840.0,53.72
1835.0,53.73
1830.0,53.70
1825.0,53.86
1820.0,53.74
1815.0,53.82
1810.0,53.75
1805.0,53.78
1800.0,53.86
1795.0,53.93
1790.0,53.94
1785.0,54.00
1780.0,54.08
1775.0,54.22
1770.0,54.30
1765.0,54.36
1760.0,54.37
1755.0,54.37
1750.0,54.43
1745.0,54.57
1740.0,54.64
1735.0,54.68
1730.0,54.82
1725.0,54.87
1720.0,54.85
1715.0,54.87
1710.0,54.97
1705.0,55.00
1700.0,55.02
1695.0,55.07
1690.0,55.08
1685.0,55.22
1680.0,55.15
1675.0,55.23
1670.0,55.28
1665.0,55.41
1660.0,55.46
1655.0,55.43
1650.0,55.48
1645.0,55.55
1640.0,55.64
1635.0,55.71
1630.0,55.77
1625.0,55.79
1620.0,55.88
1615.0,55.88
1610.0,55.96
1605.0,56.04
