Created as New Dataset,
nm,%R
2500.0,60.12
2495.0,59.41
2490.0,59.31
2485.0,62.03
2480.0,61.23
2475.0,60.50
2470.0,61.21
2465.0,61.69
2460.0,61.02
2455.0,61.92
2450.0,61.65
2445.0,61.44
2440.0,61.78
2435.0,62.19
2430.0,62.36
2425.0,62.53
2420.0,62.25
2415.0,62.91
2410.0,62.72
2405.0,61.91
2400.0,61.24
2395.0,63.09
2390.0,62.91
2385.0,62.04
2380.0,62.67
2375.0,61.79
2370.0,63.19
2365.0,60.94
2360.0,61.52
2355.0,63.15
2350.0,62.52
2345.0,62.28
2340.0,62.20
2335.0,60.63
2330.0,61.63
2325.0,61.39
2320.0,60.86
2315.0,61.97
2310.0,62.03
2305.0,60.90
2300.0,61.40
2295.0,60.91
2290.0,61.88
2285.0,60.52
2280.0,60.85
2275.0,61.14
2270.0,60.04
2265.0,59.96
2260.0,59.53
2255.0,60.60
2250.0,60.23
2245.0,60.15
2240.0,59.94
2235.0,60.26
2230.0,59.87
2225.0,60.60
2220.0,60.25
2215.0,60.07
2210.0,60.03
2205.0,60.04
2200.0,60.32
2195.0,60.25
2190.0,60.49
2185.0,60.73
2180.0,61.26
2175.0,61.51
2170.0,61.24
2165.0,61.33
2160.0,61.52
2155.0,61.93
2150.0,62.23
2145.0,62.17
2140.0,61.58
2135.0,62.14
2130.0,61.98
2125.0,62.41
2120.0,61.56
2115.0,61.78
2110.0,61.50
2105.0,61.59
2100.0,61.40
2095.0,61.20
2090.0,61.44
2085.0,61.34
2080.0,60.92
2075.0,60.84
2070.0,60.80
2065.0,60.93
2060.0,60.48
2055.0,60.59
2050.0,60.42
2045.0,60.54
2040.0,60.35
2035.0,60.22
2030.0,60.08
2025.0,59.79
2020.0,59.63
2015.0,59.61
2010.0,59.74
2005.0,59.63
2000.0,59.23
1995.0,59.29
1990.0,59.16
1985.0,59.17
1980.0,59.00
1975.0,59.09
1970.0,59.06
1965.0,58.96
1960.0,58.95
1955.0,58.92
1950.0,58.96
1945.0,58.97
1940.0,58.91
1935.0,58.71
1930.0,58.79
1925.0,59.03
1920.0,58.80
1915.0,58.69
1910.0,58.53
1905.0,58.14
1900.0,58.52
1895.0,58.25
1890.0,58.32
1885.0,58.29
1880.0,58.28
1875.0,58.24
1870.0,58.11
1865.0,58.15
1860.0,58.18
1855.0,58.04
1850.0,58.13
1845.0,57.94
1840.0,57.77
1835.0,57.80
1830.0,57.74
1825.0,57.72
1820.0,57.62
1815.0,57.56
1810.0,57.55
1805.0,57.60
1800.0,57.48
1795.0,57.55
1790.0,57.45
1785.0,57.39
1780.0,57.43
1775.0,57.41
1770.0,57.34
1765.0,57.37
1760.0,57.22
1755.0,57.33
1750.0,57.27
1745.0,57.26
1740.0,57.14
1735.0,57.17
1730.0,57.09
1725.0,57.02
1720.0,57.09
1715.0,56.85
1710.0,56.85
1705.0,56.72
1700.0,56.69
1695.0,56.52
1690.0,56.47
1685.0,56.40
1680.0,56.28
1675.0,56.12
1670.0,56.19
1665.0,56.12
1660.0,55.98
1655.0,55.82
1650.0,55.84
1645.0,55.70
1640.0,55.60
1635.0,55.53
1630.0,55.42
1625.0,55.39
1620.0,55.39
1615.0,55.22
1610.0,55.22
1605.0,55.11
1600.0,55.00
1595.0,54.94
1590.0,54.83
1585.0,54.73
1580.0,54.67
1575.0,54.63
1570.0,54.51
1565.0,54.45
1560.0,54.46
1555.0,54.31
1550.0,54.19
1545.0,54.07
1540.0,53.99
1535.0,53.92
1530.0,53.78
1525.0,53.71
1520.0,53.61
1515.0,53.50
1510.0,53.39
1505.0,53.30
1500.0,53.16
1495.0,53.05
1490.0,52.98
1485.0,52.80
1480.0,52.71
1475.0,52.64
1470.0,52.59
1465.0,52.57
1460.0,52.58
1455.0,52.59
1450.0,52.56
1445.0,52.34
1440.0,52.23
1435.0,52.16
1430.0,51.98
1425.0,51.89
1420.0,51.71
1415.0,51.63
