Created as New Dataset,
nm,%R
2500.0,58.46
2495.0,63.45
2490.0,58.95
2485.0,62.26
2480.0,58.86
2475.0,60.04
2470.0,59.36
2465.0,61.12
2460.0,61.80
2455.0,59.44
2450.0,60.41
2445.0,60.86
2440.0,60.32
2435.0,61.97
2430.0,60.50
2425.0,61.74
2420.0,60.47
2415.0,61.38
2410.0,61.47
2405.0,61.55
2400.0,60.83
2395.0,62.10
2390.0,61.53
2385.0,61.05
2380.0,62.08
2375.0,60.64
2370.0,61.47
2365.0,59.46
2360.0,60.80
2355.0,60.60
2350.0,61.52
2345.0,59.31
2340.0,59.66
2335.0,60.07
2330.0,59.89
2325.0,60.00
2320.0,60.50
2315.0,60.59
2310.0,59.48
2305.0,59.83
2300.0,59.69
2295.0,59.53
2290.0,59.69
2285.0,59.20
2280.0,59.78
2275.0,59.96
2270.0,59.55
2265.0,59.44
2260.0,59.63
2255.0,59.34
2250.0,59.71
2245.0,58.85
2240.0,58.68
2235.0,58.71
2230.0,59.19
2225.0,58.85
2220.0,59.10
2215.0,58.47
2210.0,59.27
2205.0,59.13
2200.0,59.05
2195.0,59.54
2190.0,59.60
2185.0,59.65
2180.0,59.80
2175.0,60.30
2170.0,60.18
2165.0,60.44
2160.0,60.14
2155.0,60.97
2150.0,61.00
2145.0,60.97
2140.0,60.39
2135.0,60.64
2130.0,60.91
2125.0,60.84
2120.0,60.56
2115.0,60.55
2110.0,59.87
2105.0,60.21
2100.0,59.81
2095.0,60.19
2090.0,59.77
2085.0,59.97
2080.0,59.65
2075.0,59.58
2070.0,59.61
2065.0,59.47
2060.0,59.49
2055.0,59.27
2050.0,59.05
2045.0,59.15
2040.0,58.97
2035.0,59.04
2030.0,58.58
2025.0,58.72
2020.0,58.68
2015.0,58.49
2010.0,58.35
2005.0,58.17
2000.0,58.01
1995.0,57.82
1990.0,57.89
1985.0,57.81
1980.0,57.68
1975.0,57.63
1970.0,57.44
1965.0,57.56
1960.0,57.47
1955.0,57.59
1950.0,57.50
1945.0,57.51
1940.0,57.52
1935.0,57.62
