Created as New Dataset,
nm,%T
2500.0,37.96
2495.0,37.54
2490.0,38.46
2485.0,38.87
2480.0,36.19
2475.0,37.06
2470.0,39.07
2465.0,38.31
2460.0,41.54
2455.0,36.97
2450.0,37.28
2445.0,40.33
2440.0,38.56
2435.0,39.52
2430.0,37.91
2425.0,39.88
2420.0,38.18
2415.0,38.43
2410.0,37.73
2405.0,38.80
2400.0,38.80
2395.0,39.67
2390.0,38.91
2385.0,37.82
2380.0,38.43
2375.0,39.38
2370.0,38.87
2365.0,38.45
2360.0,37.84
2355.0,37.75
2350.0,37.51
2345.0,37.42
2340.0,37.87
2335.0,37.74
2330.0,38.40
2325.0,38.07
2320.0,37.75
2315.0,38.00
2310.0,37.63
2305.0,37.49
2300.0,37.69
2295.0,37.23
2290.0,37.66
2285.0,37.32
2280.0,37.96
2275.0,38.30
2270.0,37.16
2265.0,37.30
2260.0,37.53
2255.0,37.32
2250.0,37.29
2245.0,37.32
2240.0,37.29
2235.0,36.77
2230.0,37.61
2225.0,37.41
2220.0,37.44
2215.0,36.90
2210.0,37.62
2205.0,37.39
2200.0,37.33
2195.0,37.47
2190.0,37.21
2185.0,37.71
2180.0,37.84
2175.0,37.90
2170.0,37.88
2165.0,38.55
2160.0,38.26
2155.0,38.64
2150.0,38.76
2145.0,38.45
2140.0,38.30
2135.0,38.37
2130.0,39.16
2125.0,38.35
2120.0,38.34
2115.0,38.35
2110.0,38.42
2105.0,38.26
2100.0,38.11
2095.0,38.09
2090.0,38.44
2085.0,38.09
2080.0,37.88
2075.0,38.03
2070.0,37.86
2065.0,38.07
2060.0,37.98
2055.0,37.87
2050.0,37.83
2045.0,38.11
2040.0,37.79
2035.0,37.91
2030.0,37.86
2025.0,37.81
2020.0,37.75
2015.0,37.82
2010.0,37.76
2005.0,37.74
2000.0,37.57
1995.0,37.51
1990.0,37.58
1985.0,37.58
1980.0,37.43
1975.0,37.56
1970.0,37.32
1965.0,37.36
1960.0,37.48
1955.0,37.67
1950.0,37.42
1945.0,37.69
1940.0,37.58
1935.0,37.61
1930.0,37.58
1925.0,37.38
1920.0,37.64
1915.0,37.83
1910.0,37.59
1905.0,38.02
1900.0,37.83
1895.0,37.90
1890.0,38.07
1885.0,38.03
1880.0,38.25
1875.0,38.52
1870.0,38.48
1865.0,38.38
1860.0,38.41
1855.0,38.43
1850.0,38.45
1845.0,38.54
1840.0,38.41
1835.0,38.47
1830.0,38.47
1825.0,38.62
1820.0,38.50
1815.0,38.62
1810.0,38.67
1805.0,38.63
1800.0,38.59
1795.0,38.75
1790.0,38.68
1785.0,38.92
1780.0,39.01
1775.0,39.03
1770.0,39.03
1765.0,39.02
1760.0,39.11
1755.0,39.22
1750.0,39.27
1745.0,39.33
1740.0,39.46
1735.0,39.43
1730.0,39.44
1725.0,39.57
1720.0,39.64
1715.0,39.77
1710.0,39.70
1705.0,39.93
1700.0,39.82
1695.0,39.78
1690.0,39.85
1685.0,39.91
1680.0,39.92
1675.0,40.01
1670.0,40.05
1665.0,40.20
1660.0,40.18
1655.0,40.25
1650.0,40.32
1645.0,40.39
1640.0,40.43
1635.0,40.50
1630.0,40.61
1625.0,40.60
1620.0,40.67
1615.0,40.74
1610.0,40.82
1605.0,40.90
1600.0,41.00
1595.0,41.03
1590.0,41.10
1585.0,41.22
1580.0,41.33
1575.0,41.38
1570.0,41.46
1565.0,41.58
1560.0,41.67
1555.0,41.78
1550.0,41.85
1545.0,41.95
1540.0,41.99
1535.0,42.06
1530.0,42.18
1525.0,42.27
1520.0,42.35
1515.0,42.44
1510.0,42.62
1505.0,42.77
1500.0,42.84
1495.0,42.88
1490.0,42.95
1485.0,43.04
1480.0,43.08
1475.0,43.22
1470.0,43.32
1465.0,43.44
1460.0,43.57
1455.0,43.67
1450.0,43.79
1445.0,43.94
1440.0,44.02
1435.0,44.13
1430.0,44.26
1425.0,44.37
1420.0,44.55
1415.0,44.70
1410.0,44.78
1405.0,44.94
1400.0,45.12
1395.0,45.24
1390.0,45.41
1385.0,45.60
1380.0,45.70
1375.0,45.82
1370.0,45.94
1365.0,46.09
1360.0,46.22
1355.0,46.30
1350.0,46.35
1345.0,46.51
1340.0,46.61
1335.0,46.76
1330.0,46.95
1325.0,47.10
1320.0,47.16
1315.0,47.31
1310.0,47.47
1305.0,47.61
1300.0,47.73
1295.0,47.86
1290.0,47.96
1285.0,48.17
1280.0,48.28
1275.0,48.41
1270.0,48.57
1265.0,48.72
1260.0,48.83
1255.0,48.97
1250.0,49.17
1245.0,49.26
1240.0,49.44
1235.0,49.52
1230.0,49.68
1225.0,49.78
1220.0,49.94
1215.0,50.11
1210.0,50.22
1205.0,50.42
1200.0,50.53
1195.0,50.70
1190.0,50.73
1185.0,50.92
1180.0,51.01
1175.0,51.18
1170.0,51.31
1165.0,51.38
1160.0,51.49
1155.0,51.66
1150.0,51.75
1145.0,51.89
1140.0,51.99
1135.0,52.10
1130.0,52.17
1125.0,52.29
1120.0,52.38
1115.0,52.46
1110.0,52.58
1105.0,52.69
1100.0,52.79
1095.0,52.81
1090.0,52.89
1085.0,52.98
1080.0,52.97
1075.0,53.08
1070.0,53.19
1065.0,53.20
1060.0,53.25
1055.0,53.31
1050.0,53.30
1045.0,53.36
1040.0,53.41
1035.0,53.47
1030.0,53.42
1025.0,53.46
1020.0,53.42
1015.0,53.48
1010.0,53.43
1005.0,53.41
1000.0,53.44
995.0,53.40
990.0,53.37
985.0,53.34
980.0,53.34
975.0,53.26
970.0,53.23
965.0,53.10
960.0,53.08
955.0,53.02
950.0,52.97
945.0,52.92
940.0,52.85
935.0,52.83
930.0,52.70
925.0,52.58
920.0,52.61
915.0,52.38
910.0,52.22
905.0,52.25
900.0,52.06
895.0,51.95
890.0,51.83
885.0,51.85
880.0,51.60
875.0,51.49
870.0,51.37
865.0,51.12
860.0,50.92
855.0,48.98
850.0,49.53
845.0,49.38
840.0,49.09
835.0,48.90
830.0,48.69
825.0,48.69
820.0,48.41
815.0,48.05
810.0,47.85
805.0,47.86
800.0,47.61
795.0,47.51
790.0,47.32
785.0,46.90
780.0,46.73
775.0,46.59
770.0,46.45
765.0,46.27
760.0,46.06
755.0,46.07
750.0,45.74
745.0,45.63
740.0,45.49
735.0,45.47
730.0,45.29
725.0,45.21
720.0,45.07
715.0,44.98
710.0,44.81
705.0,44.76
700.0,44.71
695.0,44.57
